partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
confirmation,broad,__pool_design__,__design_mixture__,combined_cover,320,320,0,0,9101.0550530125,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,320,9101.0550530125,9039.3331375,10103.5161346,10312.836992,11582.001181,320,35876.728391048804,35915.38050509258,40371.54955451759,41901.298862194286,45836.30177657419,320,274.14375,276.5,341.1,353.05,403,320,257.3625,258.0,322.30000000000007,334.20000000000005,385,320,77.0375,67.0,157.20000000000005,180.05,291,320,231.1125,201.0,471.60000000000014,540.1500000000001,873.0,320,10.715625,11.0,13.0,14.0,16,320,331.55592298749997,0.0,1151.9610176000003,1328.8423236000003,2152.0075179999994,320,11.053125,0.0,36.40000000000009,50.0,81,320,7175.345678209759,7183.076101018516,8074.309910903517,8380.259772438856,9167.260355314838,320,1370.71875,1382.5,1705.5000000000002,1765.25,2015.0,320,271.021875,241.5,507.9000000000002,582.0,912.0,320,26.60625,26.0,32.0,32.0,32.0,320,4.3714759156282526,4.263318550074473,5.335817420063541,5.808459184988169,6.956004999927245
confirmation,broad,__pool_design__,__design_mixture__,coverage,320,320,0,0,9258.816102565626,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,320,9258.816102565626,9166.941804,10325.4658436,10636.2574908,13152.218539,320,36484.25238681921,36243.11256476985,41354.51789464424,42501.04692641479,50101.09269063136,320,274.14375,276.5,341.1,353.05,403,320,257.35625,258.0,322.30000000000007,334.20000000000005,385,320,89.125,68.0,159.10000000000002,198.05,445,320,267.375,204.0,477.30000000000007,594.1500000000001,1335.0,320,10.715625,11.0,13.0,14.0,16,320,342.606371496875,0.0,1154.6529966,1332.6412829500007,3344.8618640000004,320,11.3125,0.0,40.0,50.0,81,320,7296.850477363843,7248.62251295397,8270.903578928848,8500.209385282958,10020.218538126272,320,1370.71875,1382.5,1705.5000000000002,1765.25,2015.0,320,307.284375,249.0,522.0,630.7500000000002,1374.0,320,26.60625,26.0,32.0,32.0,32.0,320,3.7583278478134163,3.717668999976013,4.352604940021411,4.6102264700166415,5.4078530999831855
confirmation,broad,__pool_design__,__design_mixture__,current,320,320,0,0,10688.071834271876,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,320,10688.071834271876,10620.501742,12002.3191357,12361.00160645,13909.733347,320,42366.14042423461,41976.732757112186,48004.6655109548,50291.24768136444,56227.297715434914,320,316.559375,317.5,390.1,405.1,500,320,293.975,295.5,367.0,381.1,475,320,90.51875,69.0,189.10000000000002,228.05,449,320,271.55625,207.0,567.3000000000001,684.1500000000001,1347.0,320,10.675,10.5,14.0,14.0,16,320,828.544940746875,0.0,3196.7598698,3424.2922409999996,3806.188642,320,25.740625,0.0,91.0,117.0,150,320,8473.228084846922,8395.346551422437,9600.93310219096,10058.24953627289,11245.459543086983,320,1582.796875,1587.5,1950.5,2025.5000000000002,2500.0,320,311.465625,246.0,615.0,717.7500000000002,1386.0,320,26.60625,26.0,32.0,32.0,32.0,320,3.8641866634367035,3.8158362999674864,4.469400719937402,4.668252075044439,5.785198000026867
confirmation,broad,broad_joint,__design_mixture__,combined_cover,320,320,0,0,9101.0550530125,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,320,9101.0550530125,9039.3331375,10103.5161346,10312.836992,11582.001181,320,35876.728391048804,35915.38050509258,40371.54955451759,41901.298862194286,45836.30177657419,320,274.14375,276.5,341.1,353.05,403,320,257.3625,258.0,322.30000000000007,334.20000000000005,385,320,77.0375,67.0,157.20000000000005,180.05,291,320,231.1125,201.0,471.60000000000014,540.1500000000001,873.0,320,10.715625,11.0,13.0,14.0,16,320,331.55592298749997,0.0,1151.9610176000003,1328.8423236000003,2152.0075179999994,320,11.053125,0.0,36.40000000000009,50.0,81,320,7175.345678209759,7183.076101018516,8074.309910903517,8380.259772438856,9167.260355314838,320,1370.71875,1382.5,1705.5000000000002,1765.25,2015.0,320,271.021875,241.5,507.9000000000002,582.0,912.0,320,26.60625,26.0,32.0,32.0,32.0,320,4.3714759156282526,4.263318550074473,5.335817420063541,5.808459184988169,6.956004999927245
confirmation,broad,broad_joint,__design_mixture__,coverage,320,320,0,0,9258.816102565626,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,320,9258.816102565626,9166.941804,10325.4658436,10636.2574908,13152.218539,320,36484.25238681921,36243.11256476985,41354.51789464424,42501.04692641479,50101.09269063136,320,274.14375,276.5,341.1,353.05,403,320,257.35625,258.0,322.30000000000007,334.20000000000005,385,320,89.125,68.0,159.10000000000002,198.05,445,320,267.375,204.0,477.30000000000007,594.1500000000001,1335.0,320,10.715625,11.0,13.0,14.0,16,320,342.606371496875,0.0,1154.6529966,1332.6412829500007,3344.8618640000004,320,11.3125,0.0,40.0,50.0,81,320,7296.850477363843,7248.62251295397,8270.903578928848,8500.209385282958,10020.218538126272,320,1370.71875,1382.5,1705.5000000000002,1765.25,2015.0,320,307.284375,249.0,522.0,630.7500000000002,1374.0,320,26.60625,26.0,32.0,32.0,32.0,320,3.7583278478134163,3.717668999976013,4.352604940021411,4.6102264700166415,5.4078530999831855
confirmation,broad,broad_joint,__design_mixture__,current,320,320,0,0,10688.071834271876,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,320,10688.071834271876,10620.501742,12002.3191357,12361.00160645,13909.733347,320,42366.14042423461,41976.732757112186,48004.6655109548,50291.24768136444,56227.297715434914,320,316.559375,317.5,390.1,405.1,500,320,293.975,295.5,367.0,381.1,475,320,90.51875,69.0,189.10000000000002,228.05,449,320,271.55625,207.0,567.3000000000001,684.1500000000001,1347.0,320,10.675,10.5,14.0,14.0,16,320,828.544940746875,0.0,3196.7598698,3424.2922409999996,3806.188642,320,25.740625,0.0,91.0,117.0,150,320,8473.228084846922,8395.346551422437,9600.93310219096,10058.24953627289,11245.459543086983,320,1582.796875,1587.5,1950.5,2025.5000000000002,2500.0,320,311.465625,246.0,615.0,717.7500000000002,1386.0,320,26.60625,26.0,32.0,32.0,32.0,320,3.8641866634367035,3.8158362999674864,4.469400719937402,4.668252075044439,5.785198000026867
confirmation,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,combined_cover,12,12,0,0,8962.205930416667,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,12,8962.205930416667,8970.460472499999,9931.6339247,10015.5789599,10084.447816,12,36837.69632360536,37080.944328773956,42063.16963487667,42271.89480837542,42352.23908537598,12,227.0,217.5,293.5,301.75,310,12,209.33333333333334,198.0,275.4,283.29999999999995,291,12,60.25,50.0,107.70000000000002,123.94999999999999,141,12,180.75,150.0,323.1,371.8499999999999,423.0,12,11.25,11.5,13.0,13.45,14,12,523.0636225833332,282.7585419999996,1257.6558654000005,1329.83408565,1399.8977919999998,12,17.666666666666668,8.0,48.0,54.49999999999999,60,12,7367.539264721072,7416.188865754792,8412.633926975333,8454.378961675082,8470.447817075195,12,1135.0,1087.5,1467.5,1508.75,1550.0,12,222.5,195.0,368.4,418.19999999999993,471.0,12,27.833333333333332,28.0,32.0,32.0,32.0,12,4.192615074998078,4.303552750032395,4.569572180043906,4.9152841450588305,5.333805600064807
confirmation,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,coverage,12,12,0,0,9102.399595333334,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,12,9102.399595333334,9153.428547,10025.3533127,10093.001160849999,10135.379185,12,37363.66464517292,37397.30857574461,42362.26655820333,42607.255802127926,42711.895928477796,12,227.0,217.5,293.5,301.75,310,12,209.33333333333334,198.0,275.4,283.29999999999995,291,12,71.91666666666667,63.5,130.50000000000003,138.95,145,12,215.75,190.5,391.5,416.84999999999997,435.0,12,11.25,11.5,13.0,13.45,14,12,523.2237415833332,285.20713950000027,1259.929299599999,1331.44301495,1399.8977920000007,12,17.666666666666668,8.0,48.0,54.49999999999999,60,12,7472.732929034583,7479.461715148922,8472.453311640666,8521.451160425586,8542.37918569556,12,1135.0,1087.5,1467.5,1508.75,1550.0,12,257.5,231.0,439.50000000000006,460.79999999999995,474.0,12,27.833333333333332,28.0,32.0,32.0,32.0,12,3.6637682083431478,3.7021459999959916,3.936343829985708,4.0918376350135075,4.2810741000575945
confirmation,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,current,12,12,0,0,10763.262089333333,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,12,10763.262089333333,10580.237032,13074.544158199998,13520.434559649999,13909.733347,12,44025.89378080872,42506.72556392926,53979.392685697494,54650.08079349296,54749.586866879814,12,254.66666666666666,248.0,338.3,355.2,375,12,232.41666666666666,223.5,314.3,331.2,351,12,127.58333333333333,62.0,302.6,371.9999999999999,449,12,382.75,186.0,907.8000000000001,1115.9999999999998,1347.0,12,11.833333333333334,12.0,13.9,14.899999999999999,16,12,1265.4289683333334,989.1637725,3202.3834256,3228.2670597,3254.617574,12,38.75,24.5,96.6,112.39999999999998,130,12,8805.178756161744,8501.345112785853,10795.878537139499,10930.016158698592,10949.917373375964,12,1273.3333333333333,1240.0,1691.5,1776.0,1875.0,12,424.5,231.0,955.5,1159.9499999999998,1386.0,12,27.833333333333332,28.0,32.0,32.0,32.0,12,3.8419234000029974,3.816799300024286,4.353062450047583,4.630904265033314,4.942714500008151
confirmation,broad,broad_joint,assumption__radius_max__noise_correlated__scale_300,combined_cover,12,12,0,0,9405.506382083333,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,12,9405.506382083333,9512.715774,10296.0195424,10478.6479501,10700.830921,12,37659.61524503817,38145.66845244334,41339.42554279861,41849.5753967311,42384.15462464472,12,256.6666666666667,255.5,292.79999999999995,311.54999999999995,333,12,239.91666666666666,239.0,274.7,293.09999999999997,314,12,94.83333333333333,65.5,182.20000000000002,196.5,213,12,284.5,196.5,546.6,589.5,639.0,12,11.333333333333334,11.0,13.9,14.0,14,12,455.36307716666676,151.67844950000017,1078.7925074999998,1198.3908315499998,1328.6625990000002,12,15.583333333333334,5.0,39.5,40.9,42,12,7531.923049007634,7629.133690488667,8267.885108559723,8369.915079346221,8476.830924928943,12,1283.3333333333333,1277.5,1464.0,1557.75,1665.0,12,324.0,238.5,583.8000000000001,626.8499999999999,678.0,12,26.333333333333332,26.0,30.0,30.9,32.0,12,4.423961958324071,4.20312364998972,5.679338389914483,5.803214309958275,5.84375140001066
confirmation,broad,broad_joint,assumption__radius_max__noise_correlated__scale_300,coverage,12,12,0,0,9489.489623166666,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,12,9489.489623166666,9304.5176585,10421.8366627,10976.62905245,11635.813018,12,37984.94811675182,37990.73499636835,41597.78114316926,43507.99377289573,45799.065096644845,12,256.6666666666667,255.5,292.79999999999995,311.54999999999995,333,12,240.08333333333334,239.0,274.7,293.09999999999997,314,12,101.08333333333333,75.5,157.0,220.5499999999999,297,12,303.25,226.5,471.00000000000006,661.6499999999996,891.0,12,11.416666666666666,11.5,13.9,14.0,14,12,455.5928471666666,152.15679350000028,1078.8812542999997,1199.3039733499995,1330.6918029999997,12,15.583333333333334,5.0,39.5,40.9,42,12,7596.989623350364,7598.146999273671,8319.556228633852,8701.598754579147,9159.813019328969,12,1283.3333333333333,1277.5,1464.0,1557.75,1665.0,12,342.75,268.5,518.1,705.5999999999997,930.0,12,26.333333333333332,26.0,30.0,30.9,32.0,12,3.685330791689921,3.8333499500295147,4.08197329005925,4.178632160060806,4.2894675000570714
