case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-confirmation-round-broad-p4-0000-5515b9494d1e51a0,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1346.316021999999,-1346.316021999999,13.652075616411878,9861.621484,8515.305462,-5601.580120063951,-32,-13,-39.0,-1,-1120.31602401279,-160.0,-27.0,-39.0,0.0,-1944.229683999999
p4-refinement-confirmation-round-broad-p4-0000-5515b9494d1e51a0,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1335.2384549999988,-1335.2384549999988,13.539745539477034,9861.621484,8526.383029,-5591.192291645639,-32,-10,-30.0,-1,-1118.2384583291278,-160.0,-27.0,-30.0,0.0,-1944.229683999999
p4-refinement-confirmation-round-broad-p4-0001-f1122e9b1984bacb,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2374.722439000001,-2374.722439000001,21.095061637711293,11257.243424,8882.520985,-11748.612184264675,43,-96,-288.0,0,-2349.722436852935,215.0,48.0,-288.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0001-f1122e9b1984bacb,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2196.0769330000003,-2196.0769330000003,19.50812335032261,11257.243424,9061.166491,-11065.38467451882,43,-82,-246.0,0,-2213.0769349037637,215.0,48.0,-246.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0002-0b6165c26f6086d7,4,broad,broad_joint,confirmation,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1805.874801,-1805.874801,17.813206239946272,10137.842546,8331.967745,-7769.374000930089,-52,18,54.0,0,-1553.8748001860176,-260.0,-46.0,54.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0002-0b6165c26f6086d7,4,broad,broad_joint,confirmation,extreme,coverage,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-909.786732999999,-909.786732999999,8.974165152712553,10137.842546,9228.055813,-4593.93367334974,-52,105,315.0,1,-918.7867346699477,-260.0,-46.0,315.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0003-85db4eebd8afde07,4,broad,broad_joint,confirmation,deterministic,combined_cover,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1670.340812999999,-1670.340812999999,17.087046490980672,9775.480004,8105.139191,-6441.704061246532,-57,-16,-48.0,-1,-1288.3408122493065,-285.0,-49.0,-48.0,0.0,-72.3620239999982
p4-refinement-confirmation-round-broad-p4-0003-85db4eebd8afde07,4,broad,broad_joint,confirmation,deterministic,coverage,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1703.4610359999988,-1703.4610359999988,17.42585566440691,9775.480004,8072.018968,-6562.305172561097,-57,-19,-57.0,-1,-1312.4610345122192,-285.0,-49.0,-57.0,0.0,-75.91624199999842
p4-refinement-confirmation-round-broad-p4-0004-035173714216c534,4,broad,broad_joint,confirmation,correlated,combined_cover,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1776.9339330000003,-1776.9339330000003,16.732486651344452,10619.664429,8842.730496,-7619.669656752711,-30,-27,-81.0,-2,-1523.9339313505416,-150.0,-22.0,-81.0,0.0,0.0
p4-refinement-confirmation-round-broad-p4-0004-035173714216c534,4,broad,broad_joint,confirmation,correlated,coverage,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1614.1419939999996,-1614.1419939999996,15.199557432268085,10619.664429,9005.522435,-7090.709969994619,-30,-8,-24.0,-2,-1418.1419939989237,-150.0,-22.0,-24.0,0.0,0.0
