pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,combined_cover,current,320,0,0,0.0,-1587.016781259375,-1690.5408580090625,-1477.6037750710157,320,-1587.016781259375,-1598.355665000001,0.0375,2846.0953039999995,14.346451884258736,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1697.2815836194534,-1475.8164331539062
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,coverage,current,320,0,0,0.0,-1429.25573170625,-1535.553038024922,-1314.1858321760158,320,-1429.25573170625,-1480.8353294999997,0.06875,3021.7747549999995,12.883131275114048,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1535.2341194365624,-1318.5674975384377
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,combined_cover,current,107,0,0,0.0,-1671.1570968785047,-1856.6913732259345,-1482.5449388981306,107,-1671.1570968785047,-1628.3704190000008,0.018691588785046728,2666.557009,15.199078966211117,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1848.3632750509348,-1491.3876403207948
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,coverage,current,107,0,0,0.0,-1572.6707093084112,-1748.8837347399533,-1388.3373578528042,107,-1572.6707093084112,-1597.9057809999995,0.028037383177570093,2717.488378,14.297208299272715,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1757.2263058383178,-1395.9536150182244
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,combined_cover,current,107,0,0,0.0,-1421.590791813084,-1600.1235526418227,-1254.7882529226638,107,-1421.590791813084,-1481.7362819999998,0.056074766355140186,1581.8602589999991,13.035663258110072,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1587.6651090324767,-1249.0906629170563
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,coverage,current,107,0,0,0.0,-1284.354049495327,-1454.9909232668222,-1101.7109151609814,107,-1284.354049495327,-1360.8340680000001,0.07476635514018691,1612.5343639999992,11.759131868323388,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1455.327633271028,-1118.1900705817757
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,combined_cover,current,106,0,0,0.0,-1669.0693010660377,-1877.8711987365564,-1470.2686550330188,106,-1669.0693010660377,-1701.6443259999996,0.03773584905660377,2846.0953039999995,14.808935707173854,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1871.3826107957548,-1459.9096230084908
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,coverage,current,106,0,0,0.0,-1430.7564618301888,-1642.3292070308962,-1204.8094732726418,106,-1430.7564618301888,-1473.5533965000004,0.10377358490566038,3021.7747549999995,12.590317076450114,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1656.426237802594,-1207.1294964575472
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,all,combined_cover,current,320,0,0,0.0,-1587.016781259375,-1701.1867938095313,-1482.0449890637503,320,-1587.016781259375,-1598.355665000001,0.0375,2846.0953039999995,14.346451884258736,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1690.0503880542187,-1477.9481068930468
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,all,coverage,current,320,0,0,0.0,-1429.25573170625,-1536.0410887841406,-1319.8443499582813,320,-1429.25573170625,-1480.8353294999997,0.06875,3021.7747549999995,12.883131275114048,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1543.0525598602342,-1319.1570112285158
