partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
development,broad,__pool_design__,__design_mixture__,combined_cover,80,80,0,0,9089.3486153375,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,9089.3486153375,9059.632059,10086.6187513,10190.433403150002,11149.111534,80,35756.80557818827,35573.80974560728,40296.30359682614,41142.6836976329,44955.55765610036,80,273.9,278.0,331.1,353.15,395,80,256.8125,261.5,313.3,338.04999999999995,377,80,81.9125,68.5,169.50000000000003,194.2,286,80,245.7375,205.5,508.5000000000001,582.6,858.0,80,10.85,11.0,14.0,14.0,16,80,317.74678991250005,0.0,1142.122954500001,1207.2489208999993,1942.351067999999,80,10.975,0.0,40.50000000000004,50.0,80,80,7151.361115637655,7114.7619491214555,8059.2607193652275,8228.53673952658,8991.111531220073,80,1369.5,1390.0,1655.5,1765.75,1975.0,80,285.3,247.5,552.0,624.15,906.0,80,26.375,26.0,32.0,32.0,32.0,80,3.155521641251107,3.0551282500382513,3.8730429799761623,4.26845631999895,5.142288299975917
development,broad,__pool_design__,__design_mixture__,coverage,80,80,0,0,9222.597955325,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,9222.597955325,9236.049509,10239.0740047,10597.703802299999,10820.367667,80,36272.427274,36306.617277961705,41348.40542645762,42343.16814126217,44667.61089689191,80,273.9,278.0,331.1,353.15,395,80,256.8625,261.5,313.3,338.04999999999995,377,80,91.9375,73.5,183.20000000000005,214.49999999999997,282,80,275.8125,220.5,549.6,643.4999999999999,846.0,80,10.8375,11.0,14.0,14.0,16,80,303.31178600000004,0.0,1118.6906516000004,1206.6584545999992,1939.5298189999994,80,10.4125,0.0,36.400000000000034,50.0,80,80,7254.4854548,7261.323455592341,8269.681085291524,8468.633628252433,8933.522179378382,80,1369.5,1390.0,1655.5,1765.75,1975.0,80,315.375,265.5,589.2000000000002,690.7499999999999,891.0,80,26.375,26.0,32.0,32.0,32.0,80,2.7123723487515234,2.695266799943056,3.2236976800137205,3.340521749912295,3.7270994998980314
development,broad,__pool_design__,__design_mixture__,current,80,80,0,0,10786.5354039125,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,10786.5354039125,10732.638992,12026.9389273,12401.7404675,13812.887226,80,42744.17702294899,42235.89044521167,47645.33465009348,49204.35261426345,57239.436124794,80,317.1875,318.5,390.6000000000001,399.5,422,80,294.3,294.5,366.6000000000001,375.54999999999995,397,80,97.175,81.0,187.60000000000008,213.04999999999984,332,80,291.525,243.0,562.8000000000002,639.1499999999995,996.0,80,10.525,10.0,14.0,15.0,15,80,624.05802535,0.0,1801.9217175000008,3134.0651917000005,3733.8352349999996,80,19.35,0.0,51.40000000000012,85.6499999999999,140,80,8548.8354045898,8447.178089042334,9529.066930018696,9840.870522852687,11447.8872249588,80,1585.9375,1592.5,1953.0000000000002,1997.4999999999998,2110.0,80,331.0875,282.0,610.2,686.2499999999995,1041.0,80,26.375,26.0,32.0,32.0,32.0,80,2.7696146499962198,2.7682990499888547,3.044215659971815,3.300513834966113,3.6832741999533027
development,broad,__pool_design__,__design_mixture__,local_cover,80,80,0,0,10626.0364432125,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,10626.0364432125,10624.367334999999,11718.4792031,11939.78997485,13206.165483,80,42136.55722342118,41649.12321250199,47356.39008978864,48079.207385804926,54760.82741779735,80,317.1875,318.5,390.6000000000001,399.5,422,80,294.2875,294.5,366.6000000000001,375.54999999999995,397,80,84.1875,70.5,162.70000000000005,187.05,284,80,252.5625,211.5,488.1000000000002,561.1500000000001,852.0,80,10.55,10.0,14.0,15.0,15,80,624.0845703875,0.0,1801.4592808999996,3137.597323,3734.3623639999996,80,19.35,0.0,51.40000000000012,85.6499999999999,140,80,8427.311444684234,8329.824642500396,9471.278017957726,9615.841477160986,10952.16548355947,80,1585.9375,1592.5,1953.0000000000002,1997.4999999999998,2110.0,80,292.125,256.5,529.8000000000002,603.15,900.0,80,26.375,26.0,32.0,32.0,32.0,80,3.282262637502572,3.24049565003952,3.96260057000909,4.23316068003187,5.406953800003976
development,broad,broad_joint,__design_mixture__,combined_cover,80,80,0,0,9089.3486153375,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,9089.3486153375,9059.632059,10086.6187513,10190.433403150002,11149.111534,80,35756.80557818827,35573.80974560728,40296.30359682614,41142.6836976329,44955.55765610036,80,273.9,278.0,331.1,353.15,395,80,256.8125,261.5,313.3,338.04999999999995,377,80,81.9125,68.5,169.50000000000003,194.2,286,80,245.7375,205.5,508.5000000000001,582.6,858.0,80,10.85,11.0,14.0,14.0,16,80,317.74678991250005,0.0,1142.122954500001,1207.2489208999993,1942.351067999999,80,10.975,0.0,40.50000000000004,50.0,80,80,7151.361115637655,7114.7619491214555,8059.2607193652275,8228.53673952658,8991.111531220073,80,1369.5,1390.0,1655.5,1765.75,1975.0,80,285.3,247.5,552.0,624.15,906.0,80,26.375,26.0,32.0,32.0,32.0,80,3.155521641251107,3.0551282500382513,3.8730429799761623,4.26845631999895,5.142288299975917
development,broad,broad_joint,__design_mixture__,coverage,80,80,0,0,9222.597955325,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,9222.597955325,9236.049509,10239.0740047,10597.703802299999,10820.367667,80,36272.427274,36306.617277961705,41348.40542645762,42343.16814126217,44667.61089689191,80,273.9,278.0,331.1,353.15,395,80,256.8625,261.5,313.3,338.04999999999995,377,80,91.9375,73.5,183.20000000000005,214.49999999999997,282,80,275.8125,220.5,549.6,643.4999999999999,846.0,80,10.8375,11.0,14.0,14.0,16,80,303.31178600000004,0.0,1118.6906516000004,1206.6584545999992,1939.5298189999994,80,10.4125,0.0,36.400000000000034,50.0,80,80,7254.4854548,7261.323455592341,8269.681085291524,8468.633628252433,8933.522179378382,80,1369.5,1390.0,1655.5,1765.75,1975.0,80,315.375,265.5,589.2000000000002,690.7499999999999,891.0,80,26.375,26.0,32.0,32.0,32.0,80,2.7123723487515234,2.695266799943056,3.2236976800137205,3.340521749912295,3.7270994998980314
development,broad,broad_joint,__design_mixture__,current,80,80,0,0,10786.5354039125,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,10786.5354039125,10732.638992,12026.9389273,12401.7404675,13812.887226,80,42744.17702294899,42235.89044521167,47645.33465009348,49204.35261426345,57239.436124794,80,317.1875,318.5,390.6000000000001,399.5,422,80,294.3,294.5,366.6000000000001,375.54999999999995,397,80,97.175,81.0,187.60000000000008,213.04999999999984,332,80,291.525,243.0,562.8000000000002,639.1499999999995,996.0,80,10.525,10.0,14.0,15.0,15,80,624.05802535,0.0,1801.9217175000008,3134.0651917000005,3733.8352349999996,80,19.35,0.0,51.40000000000012,85.6499999999999,140,80,8548.8354045898,8447.178089042334,9529.066930018696,9840.870522852687,11447.8872249588,80,1585.9375,1592.5,1953.0000000000002,1997.4999999999998,2110.0,80,331.0875,282.0,610.2,686.2499999999995,1041.0,80,26.375,26.0,32.0,32.0,32.0,80,2.7696146499962198,2.7682990499888547,3.044215659971815,3.300513834966113,3.6832741999533027
development,broad,broad_joint,__design_mixture__,local_cover,80,80,0,0,10626.0364432125,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,80,10626.0364432125,10624.367334999999,11718.4792031,11939.78997485,13206.165483,80,42136.55722342118,41649.12321250199,47356.39008978864,48079.207385804926,54760.82741779735,80,317.1875,318.5,390.6000000000001,399.5,422,80,294.2875,294.5,366.6000000000001,375.54999999999995,397,80,84.1875,70.5,162.70000000000005,187.05,284,80,252.5625,211.5,488.1000000000002,561.1500000000001,852.0,80,10.55,10.0,14.0,15.0,15,80,624.0845703875,0.0,1801.4592808999996,3137.597323,3734.3623639999996,80,19.35,0.0,51.40000000000012,85.6499999999999,140,80,8427.311444684234,8329.824642500396,9471.278017957726,9615.841477160986,10952.16548355947,80,1585.9375,1592.5,1953.0000000000002,1997.4999999999998,2110.0,80,292.125,256.5,529.8000000000002,603.15,900.0,80,26.375,26.0,32.0,32.0,32.0,80,3.282262637502572,3.24049565003952,3.96260057000909,4.23316068003187,5.406953800003976
development,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,combined_cover,3,3,0,0,9327.056029,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,3,9327.056029,9092.879446,9980.7947252,10091.7841351,10202.773545,3,36801.946804286934,35729.39722811163,39940.97361372593,40467.42066192771,40993.8677101295,3,280.0,299,306.2,307.1,308,3,262.0,281,287.4,288.2,289,3,81.0,41,153.0,166.99999999999997,181,3,243.0,123.0,459.0,500.99999999999994,543.0,3,11.333333333333334,11,14.2,14.6,15,3,647.4503559999997,0.0,1553.8808543999994,1748.115961199999,1942.351067999999,3,26.666666666666668,0,64.0,72.0,80,3,7360.389360857388,7145.879445622326,7988.194722745186,8093.4841323855435,8198.773542025901,3,1400.0,1495.0,1531.0,1535.5,1540.0,3,280.0,153.0,503.4,547.2,591.0,3,24.666666666666668,22.0,30.0,31.0,32.0,3,2.999296266663199,2.7544034000020474,3.4572919600177556,3.545153030019719,3.6330141000216827
development,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,coverage,3,3,0,0,9586.753503,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,3,9586.753503,9240.484728,10480.6644856,10635.6869553,10790.709425,3,37665.434173310845,36227.423638009896,41612.3224259468,42285.43477443891,42958.54712293102,3,280.0,299,306.2,307.1,308,3,262.0,281,287.4,288.2,289,3,110.0,47,206.20000000000002,226.1,246,3,330.0,141.0,618.6,678.3,738.0,3,11.333333333333334,11,14.2,14.6,15,3,646.5099396666665,0.0,1551.6238551999995,1745.5768370999992,1939.5298189999994,3,26.666666666666668,0,64.0,72.0,80,3,7533.086834662169,7245.484727601979,8322.464485189359,8457.086954887782,8591.709424586204,3,1400.0,1495.0,1531.0,1535.5,1540.0,3,367.0,171.0,663.0000000000001,724.5,786.0,3,24.666666666666668,22.0,30.0,31.0,32.0,3,2.5942053000520295,2.42343660001643,2.8469026000704614,2.8998358500772152,2.9527691000839695
development,broad,broad_joint,assumption__radius_max__noise_correlated__scale_150,current,3,3,0,0,10285.132053666666,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,3,10285.132053666666,10220.297562,10556.4884348,10598.5122939,10640.536153,3,40260.66027155434,39997.81223945576,41025.70706035322,41154.193912965406,41282.680765577585,3,317.6666666666667,330,360.40000000000003,364.20000000000005,368,3,295.0,307,335.8,339.40000000000003,343,3,96.0,124,132.79999999999998,133.9,135,3,288.0,372.0,398.4,401.7,405.0,3,10.666666666666666,11,14.2,14.6,15,3,1244.611745,0.0,2987.0681879999997,3360.4517114999994,3733.8352349999996,3,45.0,0,108.0,121.49999999999999,135,3,8052.132054310868,7999.562447891151,8205.141412070645,8230.838782593082,8256.536153115518,3,1588.3333333333333,1650.0,1802.0,1821.0,1840.0,3,325.0,405.0,443.40000000000003,448.2,453.0,3,24.666666666666668,22.0,30.0,31.0,32.0,3,2.749968033322754,2.800689800060354,2.8132554800016805,2.8148261899943465,2.816396899987012
