case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-development-round-broad-p4-0000-7834411e5026bf94,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2778.1764139999996,-2778.1764139999996,23.828291542670904,11659.150674,8880.97426,-11145.8820752252,-37,-110,-330.0,1,-2229.176415045039,-185.0,-34.0,-330.0,0.0,0.0
p4-refinement-development-round-broad-p4-0000-7834411e5026bf94,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2770.0233740000003,-2770.0233740000003,23.758363292938434,11659.150674,8889.1273,-11165.116867134464,-37,-106,-318.0,1,-2233.0233734268922,-185.0,-34.0,-318.0,0.0,0.0
p4-refinement-development-round-broad-p4-0000-7834411e5026bf94,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-585.9723780000004,-585.9723780000004,5.02585818113427,11659.150674,11073.178296,-1894.861902476754,0,-69,-207.0,0,-378.9723804953501,0.0,0.0,-207.0,0.0,0.0
p4-refinement-development-round-broad-p4-0001-40e0f293b32edad9,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1108.1259469999986,-1108.1259469999986,11.669460340895155,9495.948524,8387.822577,-3685.629757896546,-53,-20,-60.0,3,-737.125951579309,-265.0,-46.0,-60.0,0.0,-1198.611272
p4-refinement-development-round-broad-p4-0001-40e0f293b32edad9,4,broad,broad_joint,development,correlated,coverage,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1035.6479549999985,-1035.6479549999985,10.906208604464405,9495.948524,8460.300569,-3518.239796972688,-53,-7,-21.0,3,-703.6479593945378,-265.0,-46.0,-21.0,0.0,-1198.611272
p4-refinement-development-round-broad-p4-0001-40e0f293b32edad9,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-231.04009099999894,-231.04009099999894,2.4330385786745756,9495.948524,9264.908433,-795.2004622504828,0,-24,-72.0,0,-159.04009245009638,0.0,0.0,-72.0,0.0,0.0
p4-refinement-development-round-broad-p4-0002-3406fce96badb117,4,broad,broad_joint,development,extreme,combined_cover,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-679.8308159999997,-679.8308159999997,6.419257710585069,10590.489534,9910.658718,-3794.1540737220857,-13,51,153.0,0,-758.8308147444168,-65.0,-9.0,153.0,0.0,0.0
p4-refinement-development-round-broad-p4-0002-3406fce96badb117,4,broad,broad_joint,development,extreme,coverage,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-925.9696029999996,-925.9696029999996,8.743406997639166,10590.489534,9664.519931,-4379.848012676579,-13,8,24.0,0,-875.969602535316,-65.0,-9.0,24.0,0.0,0.0
p4-refinement-development-round-broad-p4-0002-3406fce96badb117,4,broad,broad_joint,development,extreme,local_cover,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,current,True,0,-347.8806170000007,-347.8806170000007,3.2848398167351487,10590.489534,10242.608917,-1154.403067499683,0,-39,-117.0,0,-230.88061349993586,0.0,0.0,-117.0,0.0,0.0
p4-refinement-development-round-broad-p4-0003-cff3d77b1e7cd8d9,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-810.351752999999,-810.351752999999,7.366743256100785,11000.135675,10189.783922,-3601.758764329483,-51,70,210.0,0,-720.3517528658958,-255.0,-45.0,210.0,0.0,0.0
