pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,combined_cover,current,80,0,0,0.0,-1697.1867885750003,-1930.3232582965625,-1453.2144736650002,80,-1697.1867885750003,-1834.2789270000003,0.0625,2843.6013840000005,15.188708265774,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1931.864721571875,-1470.2485538571875
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,coverage,current,80,0,0,0.0,-1563.9374485875,-1782.9618131128125,-1319.1056526568752,80,-1563.9374485875,-1619.6581499999993,0.0625,2489.0379760000005,13.969007147191533,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1783.1480699490623,-1327.8241734096875
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,local_cover,current,80,0,0,0.0,-160.4989607,-252.1692909996875,-70.02742524343756,80,-160.4989607,-125.61416499999996,0.275,1072.5548209999997,1.3587329669596617,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-257.8276702281248,-69.97159746781243
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,combined_cover,current,27,0,0,0.0,-1380.647578962963,-1800.0188646666663,-885.1887284842591,27,-1380.647578962963,-1547.6567069999983,0.14814814814814814,2843.6013840000005,12.619466723944607,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1803.8006072537034,-854.8469219462969
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,coverage,current,27,0,0,0.0,-1287.8648129629628,-1694.9812293648147,-812.9127693092593,27,-1287.8648129629628,-1491.2312060000004,0.1111111111111111,2489.0379760000005,11.771839174866706,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-1726.10935597037,-849.8624449712963
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,local_cover,current,27,0,0,0.0,-45.22559148148135,-146.1514196092592,53.94244744351853,27,-45.22559148148135,-66.03472099999999,0.25925925925925924,493.089469999999,0.4927817365691095,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-142.01885420092555,51.34931556666659
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,combined_cover,current,27,0,0,0.0,-1782.4608308148147,-2182.6192559462957,-1369.7520613944446,27,-1782.4608308148147,-1906.7213039999988,0.037037037037037035,997.2569629999998,15.64169033187267,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-2190.6110122546293,-1381.8373197231483
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,coverage,current,27,0,0,0.0,-1673.352415814815,-2078.343968126852,-1213.8723845675936,27,-1673.352415814815,-1834.1047939999999,0.037037037037037035,1582.0289950000006,14.591175212639873,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-2085.550142096296,-1247.9095467101852
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,local_cover,current,27,0,0,0.0,-180.06372496296305,-367.45674766481505,-4.587763574074448,27,-180.06372496296305,-206.5177359999998,0.2962962962962963,1072.5548209999997,1.4661339972218255,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-374.59712041018514,1.097513139814754
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,combined_cover,current,26,0,0,0.0,-1937.3467700769236,-2234.974376520193,-1647.5949843432697,26,-1937.3467700769236,-1932.9451515,0.0,-594.8512820000014,17.38636233672513,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-2224.742988064423,-1646.9526695423085
