partition,pool,composition_model,mechanism_id,variant,n,complete,failures,hull_violations,penalized_time_mean_s,interpretation,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p90,total_virtual_time_s_p95,total_virtual_time_s_max,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p90,walk_distance_m_p95,walk_distance_m_max,measures_n,measures_mean,measures_median,measures_p90,measures_p95,measures_max,switches_n,switches_mean,switches_median,switches_p90,switches_p95,switches_max,failed_clear_attempts_n,failed_clear_attempts_mean,failed_clear_attempts_median,failed_clear_attempts_p90,failed_clear_attempts_p95,failed_clear_attempts_max,failed_clear_cost_s_n,failed_clear_cost_s_mean,failed_clear_cost_s_median,failed_clear_cost_s_p90,failed_clear_cost_s_p95,failed_clear_cost_s_max,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p90,fallback_targets_p95,fallback_targets_max,post_clear_stop_tail_s_n,post_clear_stop_tail_s_mean,post_clear_stop_tail_s_median,post_clear_stop_tail_s_p90,post_clear_stop_tail_s_p95,post_clear_stop_tail_s_max,post_clear_measurements_n,post_clear_measurements_mean,post_clear_measurements_median,post_clear_measurements_p90,post_clear_measurements_p95,post_clear_measurements_max,movement_s_n,movement_s_mean,movement_s_median,movement_s_p90,movement_s_p95,movement_s_max,measurement_s_n,measurement_s_mean,measurement_s_median,measurement_s_p90,measurement_s_p95,measurement_s_max,optical_s_n,optical_s_mean,optical_s_median,optical_s_p90,optical_s_p95,optical_s_max,laser_s_n,laser_s_mean,laser_s_median,laser_s_p90,laser_s_p95,laser_s_max,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p90,program_real_time_s_p95,program_real_time_s_max
development,broad,__pool_design__,__design_mixture__,combined_cover,2,2,0,0,8961.023776,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,8961.023776,8961.023776,9158.0444768,9182.6720644,9207.299652,2,34825.11888136456,34825.11888136456,36662.22238842703,36891.86032680984,37121.49826519265,2,288.5,288.5,321.7,325.85,330,2,272.0,272.0,305.6,309.8,314,2,70.5,70.5,78.9,79.95,81,2,211.5,211.5,236.70000000000002,239.85,243.0,2,12.0,12.0,12.0,12.0,12,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,6965.023776272912,6965.023776272912,7332.444477685407,7378.3720653619675,7424.29965303853,2,1442.5,1442.5,1608.5,1629.25,1650.0,2,253.5,253.5,281.09999999999997,284.54999999999995,288.0,2,28.0,28.0,29.6,29.8,30.0,2,2.0359184000408277,2.0359184000408277,2.100210320088081,2.1082468100939877,2.1162833000998944
development,broad,__pool_design__,__design_mixture__,coverage,2,2,0,0,9113.3521745,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,9113.3521745,9113.3521745,9331.563858900001,9358.84031945,9386.11678,2,35451.76088794785,35451.76088794785,37406.819304915894,37651.2016070369,37895.583909157904,2,288.5,288.5,321.7,325.85,330,2,272.0,272.0,305.6,309.8,314,2,79.5,79.5,87.10000000000001,88.05,89,2,238.5,238.5,261.3,264.15,267.0,2,12.0,12.0,12.0,12.0,12,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,7090.35217758957,7090.35217758957,7481.363860983178,7530.24032140738,7579.116781831581,2,1442.5,1442.5,1608.5,1629.25,1650.0,2,280.5,280.5,305.7,308.84999999999997,312.0,2,28.0,28.0,29.6,29.8,30.0,2,1.7064070000196807,1.7064070000196807,1.7152222800417802,1.7163241900445427,1.7174261000473052
development,broad,__pool_design__,__design_mixture__,current,2,2,0,0,10536.320214,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10536.320214,10536.320214,11095.875328400001,11165.819717700002,11235.764107,2,41364.101077745116,41364.101077745116,42675.87665334719,42839.84860029746,43003.82054724772,2,342.5,342.5,382.1,387.05,392,2,320.5,320.5,360.1,365.05,370,2,53.5,53.5,74.7,77.35,80,2,160.5,160.5,224.1,232.05,240.0,2,9.5,9.5,9.9,9.950000000000001,10,2,568.2329854999998,568.2329854999998,1022.8193738999997,1079.6426724499995,1136.4659709999996,2,12.5,12.5,22.5,23.75,25,2,8272.820215549022,8272.820215549022,8535.17533066944,8567.969720059493,8600.764109449545,2,1712.5,1712.5,1910.5,1935.25,1960.0,2,202.5,202.5,263.7,271.35,279.0,2,28.0,28.0,29.6,29.8,30.0,2,1.704128050012514,1.704128050012514,1.7232223300728948,1.7256091150804422,1.7279959000879899
development,broad,__pool_design__,__design_mixture__,local_cover,2,2,0,0,10793.695433500001,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10793.695433500001,10793.695433500001,11589.5277427,11689.006781349999,11788.48582,2,42140.97716919987,42140.97716919987,44142.13871619455,44392.28390956888,44642.42910294322,2,342.5,342.5,382.1,387.05,392,2,320.5,320.5,360.1,365.05,370,2,87.5,87.5,141.5,148.25,155,2,262.5,262.5,424.5,444.75,465.0,2,9.5,9.5,9.9,9.950000000000001,10,2,568.2329854999998,568.2329854999998,1022.8193738999997,1079.6426724499995,1136.4659709999996,2,12.5,12.5,22.5,23.75,25,2,8428.195433839974,8428.195433839974,8828.427743238912,8878.456781913777,8928.485820588645,2,1712.5,1712.5,1910.5,1935.25,1960.0,2,304.5,304.5,464.1,484.04999999999995,504.0,2,28.0,28.0,29.6,29.8,30.0,2,1.9534002500004135,1.9534002500004135,2.196418370015454,2.2267956350173335,2.2571729000192136
development,broad,broad_joint,__design_mixture__,combined_cover,2,2,0,0,8961.023776,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,8961.023776,8961.023776,9158.0444768,9182.6720644,9207.299652,2,34825.11888136456,34825.11888136456,36662.22238842703,36891.86032680984,37121.49826519265,2,288.5,288.5,321.7,325.85,330,2,272.0,272.0,305.6,309.8,314,2,70.5,70.5,78.9,79.95,81,2,211.5,211.5,236.70000000000002,239.85,243.0,2,12.0,12.0,12.0,12.0,12,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,6965.023776272912,6965.023776272912,7332.444477685407,7378.3720653619675,7424.29965303853,2,1442.5,1442.5,1608.5,1629.25,1650.0,2,253.5,253.5,281.09999999999997,284.54999999999995,288.0,2,28.0,28.0,29.6,29.8,30.0,2,2.0359184000408277,2.0359184000408277,2.100210320088081,2.1082468100939877,2.1162833000998944
development,broad,broad_joint,__design_mixture__,coverage,2,2,0,0,9113.3521745,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,9113.3521745,9113.3521745,9331.563858900001,9358.84031945,9386.11678,2,35451.76088794785,35451.76088794785,37406.819304915894,37651.2016070369,37895.583909157904,2,288.5,288.5,321.7,325.85,330,2,272.0,272.0,305.6,309.8,314,2,79.5,79.5,87.10000000000001,88.05,89,2,238.5,238.5,261.3,264.15,267.0,2,12.0,12.0,12.0,12.0,12,2,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,2,7090.35217758957,7090.35217758957,7481.363860983178,7530.24032140738,7579.116781831581,2,1442.5,1442.5,1608.5,1629.25,1650.0,2,280.5,280.5,305.7,308.84999999999997,312.0,2,28.0,28.0,29.6,29.8,30.0,2,1.7064070000196807,1.7064070000196807,1.7152222800417802,1.7163241900445427,1.7174261000473052
development,broad,broad_joint,__design_mixture__,current,2,2,0,0,10536.320214,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10536.320214,10536.320214,11095.875328400001,11165.819717700002,11235.764107,2,41364.101077745116,41364.101077745116,42675.87665334719,42839.84860029746,43003.82054724772,2,342.5,342.5,382.1,387.05,392,2,320.5,320.5,360.1,365.05,370,2,53.5,53.5,74.7,77.35,80,2,160.5,160.5,224.1,232.05,240.0,2,9.5,9.5,9.9,9.950000000000001,10,2,568.2329854999998,568.2329854999998,1022.8193738999997,1079.6426724499995,1136.4659709999996,2,12.5,12.5,22.5,23.75,25,2,8272.820215549022,8272.820215549022,8535.17533066944,8567.969720059493,8600.764109449545,2,1712.5,1712.5,1910.5,1935.25,1960.0,2,202.5,202.5,263.7,271.35,279.0,2,28.0,28.0,29.6,29.8,30.0,2,1.704128050012514,1.704128050012514,1.7232223300728948,1.7256091150804422,1.7279959000879899
development,broad,broad_joint,__design_mixture__,local_cover,2,2,0,0,10793.695433500001,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,2,10793.695433500001,10793.695433500001,11589.5277427,11689.006781349999,11788.48582,2,42140.97716919987,42140.97716919987,44142.13871619455,44392.28390956888,44642.42910294322,2,342.5,342.5,382.1,387.05,392,2,320.5,320.5,360.1,365.05,370,2,87.5,87.5,141.5,148.25,155,2,262.5,262.5,424.5,444.75,465.0,2,9.5,9.5,9.9,9.950000000000001,10,2,568.2329854999998,568.2329854999998,1022.8193738999997,1079.6426724499995,1136.4659709999996,2,12.5,12.5,22.5,23.75,25,2,8428.195433839974,8428.195433839974,8828.427743238912,8878.456781913777,8928.485820588645,2,1712.5,1712.5,1910.5,1935.25,1960.0,2,304.5,304.5,464.1,484.04999999999995,504.0,2,28.0,28.0,29.6,29.8,30.0,2,1.9534002500004135,1.9534002500004135,2.196418370015454,2.2267956350173335,2.2571729000192136
development,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,combined_cover,1,1,0,0,9207.299652,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9207.299652,9207.299652,9207.299652,9207.299652,9207.299652,1,37121.49826519265,37121.49826519265,37121.49826519265,37121.49826519265,37121.49826519265,1,247.0,247,247,247,247,1,230.0,230,230,230,230,1,81.0,81,81,81,81,1,243.0,243.0,243.0,243.0,243.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7424.29965303853,7424.29965303853,7424.29965303853,7424.29965303853,7424.29965303853,1,1235.0,1235.0,1235.0,1235.0,1235.0,1,288.0,288.0,288.0,288.0,288.0,1,30.0,30.0,30.0,30.0,30.0,1,2.1162833000998944,2.1162833000998944,2.1162833000998944,2.1162833000998944,2.1162833000998944
development,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,coverage,1,1,0,0,9386.11678,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9386.11678,9386.11678,9386.11678,9386.11678,9386.11678,1,37895.583909157904,37895.583909157904,37895.583909157904,37895.583909157904,37895.583909157904,1,247.0,247,247,247,247,1,230.0,230,230,230,230,1,89.0,89,89,89,89,1,267.0,267.0,267.0,267.0,267.0,1,12.0,12,12,12,12,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,7579.116781831581,7579.116781831581,7579.116781831581,7579.116781831581,7579.116781831581,1,1235.0,1235.0,1235.0,1235.0,1235.0,1,312.0,312.0,312.0,312.0,312.0,1,30.0,30.0,30.0,30.0,30.0,1,1.6953878999920562,1.6953878999920562,1.6953878999920562,1.6953878999920562,1.6953878999920562
development,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,current,1,1,0,0,9836.876321,Synthetic design; no pooling across pools; time/tail quantiles conditional on completion.,1,9836.876321,9836.876321,9836.876321,9836.876321,9836.876321,1,39724.381608242504,39724.381608242504,39724.381608242504,39724.381608242504,39724.381608242504,1,293.0,293,293,293,293,1,271.0,271,271,271,271,1,27.0,27,27,27,27,1,81.0,81.0,81.0,81.0,81.0,1,9.0,9,9,9,9,1,1136.4659709999996,1136.4659709999996,1136.4659709999996,1136.4659709999996,1136.4659709999996,1,25.0,25,25,25,25,1,7944.8763216485,7944.8763216485,7944.8763216485,7944.8763216485,7944.8763216485,1,1465.0,1465.0,1465.0,1465.0,1465.0,1,126.0,126.0,126.0,126.0,126.0,1,30.0,30.0,30.0,30.0,30.0,1,1.6802601999370381,1.6802601999370381,1.6802601999370381,1.6802601999370381,1.6802601999370381
