case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s,walk_distance_m_delta,measures_delta,failed_clear_attempts_delta,failed_clear_cost_s_delta,fallback_targets_delta,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,post_clear_stop_tail_s_delta
p4-refinement-development-round-broad-p4-0000-d8612e1ec1fdf470,4,broad,broad_joint,development,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2521.0162070000006,-2521.0162070000006,22.43742555461253,11235.764107,8714.7479,-10475.081049711247,-62,-20,-60.0,2,-2095.0162099422505,-310.0,-56.0,-60.0,0.0,0.0
p4-refinement-development-round-broad-p4-0000-d8612e1ec1fdf470,4,broad,broad_joint,development,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-2395.1765380000015,-2395.1765380000015,21.317433466832764,11235.764107,8840.587569,-9995.88268050993,-62,-10,-30.0,2,-1999.176536101987,-310.0,-56.0,-30.0,0.0,0.0
p4-refinement-development-round-broad-p4-0000-d8612e1ec1fdf470,4,broad,broad_joint,development,deterministic,local_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,552.721712999999,552.721712999999,-4.9193068467470535,11235.764107,11788.48582,1638.6085556955004,0,75,225.0,0,327.7217111391001,0.0,0.0,225.0,0.0,0.0
p4-refinement-development-round-broad-p4-0001-2d8c6bdd0ff190f7,4,broad,broad_joint,development,correlated,combined_cover,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-629.576669,-629.576669,6.400168594739416,9836.876321,9207.299652,-2602.883343049856,-46,54,162.0,3,-520.5766686099705,-230.0,-41.0,162.0,0.0,-1136.4659709999996
p4-refinement-development-round-broad-p4-0001-2d8c6bdd0ff190f7,4,broad,broad_joint,development,correlated,coverage,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-450.75954099999944,-450.75954099999944,4.5823442960008265,9836.876321,9386.11678,-1828.7976990846,-46,62,186.0,3,-365.75953981691964,-230.0,-41.0,186.0,0.0,-1136.4659709999996
p4-refinement-development-round-broad-p4-0001-2d8c6bdd0ff190f7,4,broad,broad_joint,development,correlated,local_cover,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,current,True,0,-37.97127399999954,-37.97127399999954,0.38600946846243817,9836.876321,9798.905047,-84.85637278598733,0,-7,-21.0,0,-16.97127455719692,0.0,0.0,-21.0,0.0,0.0
p4-refinement-development-round-calibrated-p4-0000-d5f6e023f2e73959,4,calibrated,smoothed_joint,development,correlated,combined_cover,mixed_correlated150_after_observable_screen,unresolved,True,True,current,True,0,-1234.8120990000007,-1234.8120990000007,11.629918164027025,10617.547618,9382.735519,-4219.060488778989,-60,-13,-39.0,3,-843.8120977557974,-300.0,-52.0,-39.0,0.0,0.0
p4-refinement-development-round-calibrated-p4-0000-d5f6e023f2e73959,4,calibrated,smoothed_joint,development,correlated,coverage,mixed_correlated150_after_observable_screen,unresolved,True,True,current,True,0,-1062.7334650000012,-1062.7334650000012,10.009217789599003,10617.547618,9554.814153,-3643.667319439599,-60,6,18.0,3,-728.7334638879192,-300.0,-52.0,18.0,0.0,0.0
p4-refinement-development-round-calibrated-p4-0000-d5f6e023f2e73959,4,calibrated,smoothed_joint,development,correlated,local_cover,mixed_correlated150_after_observable_screen,unresolved,True,True,current,True,0,32.22572199999922,32.22572199999922,-0.3035137977188512,10617.547618,10649.77334,86.12860816033935,0,5,15.0,0,17.2257216320686,0.0,0.0,15.0,0.0,0.0
p4-refinement-development-round-calibrated-p4-0001-dec195375c3aa468,4,calibrated,broad_joint,development,correlated,combined_cover,mixed_correlated150_after_observable_screen,unresolved,True,True,current,True,0,-1388.5688529999989,-1388.5688529999989,13.791649860629821,10068.185221,8679.616368,-7102.84428799383,-12,32,96.0,-1,-1420.568857598766,-60.0,-4.0,96.0,0.0,-2252.514519999999
p4-refinement-development-round-calibrated-p4-0001-dec195375c3aa468,4,calibrated,broad_joint,development,correlated,coverage,mixed_correlated150_after_observable_screen,unresolved,True,True,current,True,0,-1535.6835030000002,-1535.6835030000002,15.252833249401345,10068.185221,8532.501718,-7508.417545715674,-12,10,30.0,-1,-1501.6835091431349,-60.0,-4.0,30.0,0.0,-2252.5145200000006
p4-refinement-development-round-calibrated-p4-0001-dec195375c3aa468,4,calibrated,broad_joint,development,correlated,local_cover,mixed_correlated150_after_observable_screen,unresolved,True,True,current,True,0,-209.81906100000015,-209.81906100000015,2.0839809399052784,10068.185221,9858.36616,-839.0953221481614,0,-14,-42.0,0,-167.8190644296319,0.0,0.0,-42.0,0.0,2.537742999999864
p4-refinement-development-round-stress-p4-0000-a9ecb62bb50a1e56,4,stress,stress_design,development,deterministic,combined_cover,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1298.4096179999997,-1298.4096179999997,13.118349297180087,9897.660053,8599.250435,-5212.048097415129,-34,-19,-57.0,-3,-1042.4096194830263,-170.0,-29.0,-57.0,0.0,0.0
p4-refinement-development-round-stress-p4-0000-a9ecb62bb50a1e56,4,stress,stress_design,development,deterministic,coverage,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,current,True,0,-1242.2510490000004,-1242.2510490000004,12.550956916564049,9897.660053,8655.409004,-5066.255254729091,-34,-10,-30.0,-3,-1013.2510509458189,-170.0,-29.0,-30.0,0.0,0.0
