pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,combined_cover,current,2,0,0,0.0,-1575.2964380000003,-2521.0162070000006,-629.576669,2,-1575.2964380000003,-1575.2964380000003,0.0,-629.576669,14.418797074675973,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2521.0162070000006,-629.576669
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,coverage,current,2,0,0,0.0,-1422.9680395000005,-2395.1765380000015,-450.75954099999944,2,-1422.9680395000005,-1422.9680395000005,0.0,-450.75954099999944,12.949888881416795,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2395.1765380000015,-450.75954099999944
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,local_cover,current,2,0,0,0.0,257.37521949999973,-37.97127399999954,552.721712999999,2,257.37521949999973,257.37521949999973,0.5,552.721712999999,-2.2666486891423077,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-37.97127399999954,552.721712999999
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,combined_cover,current,1,0,0,0.0,-629.576669,,,1,-629.576669,-629.576669,0.0,-629.576669,6.400168594739416,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,coverage,current,1,0,0,0.0,-450.75954099999944,,,1,-450.75954099999944,-450.75954099999944,0.0,-450.75954099999944,4.5823442960008265,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,local_cover,current,1,0,0,0.0,-37.97127399999954,,,1,-37.97127399999954,-37.97127399999954,0.0,-37.97127399999954,0.38600946846243817,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,combined_cover,current,1,0,0,0.0,-2521.0162070000006,,,1,-2521.0162070000006,-2521.0162070000006,0.0,-2521.0162070000006,22.43742555461253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,coverage,current,1,0,0,0.0,-2395.1765380000015,,,1,-2395.1765380000015,-2395.1765380000015,0.0,-2395.1765380000015,21.317433466832764,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,local_cover,current,1,0,0,0.0,552.721712999999,,,1,552.721712999999,552.721712999999,1.0,552.721712999999,-4.9193068467470535,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,combined_cover,current,2,0,0,0.0,-1575.2964380000003,-2521.0162070000006,-629.576669,2,-1575.2964380000003,-1575.2964380000003,0.0,-629.576669,14.418797074675973,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2521.0162070000006,-629.576669
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,coverage,current,2,0,0,0.0,-1422.9680395000005,-2395.1765380000015,-450.75954099999944,2,-1422.9680395000005,-1422.9680395000005,0.0,-450.75954099999944,12.949888881416795,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-2395.1765380000015,-450.75954099999944
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,local_cover,current,2,0,0,0.0,257.37521949999973,-37.97127399999954,552.721712999999,2,257.37521949999973,257.37521949999973,0.5,552.721712999999,-2.2666486891423077,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-37.97127399999954,552.721712999999
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,combined_cover,current,1,0,0,0.0,-629.576669,,,1,-629.576669,-629.576669,0.0,-629.576669,6.400168594739416,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,coverage,current,1,0,0,0.0,-450.75954099999944,,,1,-450.75954099999944,-450.75954099999944,0.0,-450.75954099999944,4.5823442960008265,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,local_cover,current,1,0,0,0.0,-37.97127399999954,,,1,-37.97127399999954,-37.97127399999954,0.0,-37.97127399999954,0.38600946846243817,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,combined_cover,current,1,0,0,0.0,-2521.0162070000006,,,1,-2521.0162070000006,-2521.0162070000006,0.0,-2521.0162070000006,22.43742555461253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,coverage,current,1,0,0,0.0,-2395.1765380000015,,,1,-2395.1765380000015,-2395.1765380000015,0.0,-2395.1765380000015,21.317433466832764,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,local_cover,current,1,0,0,0.0,552.721712999999,,,1,552.721712999999,552.721712999999,1.0,552.721712999999,-4.9193068467470535,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,combined_cover,current,1,0,0,0.0,-629.576669,,,1,-629.576669,-629.576669,0.0,-629.576669,6.400168594739416,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,coverage,current,1,0,0,0.0,-450.75954099999944,,,1,-450.75954099999944,-450.75954099999944,0.0,-450.75954099999944,4.5823442960008265,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,local_cover,current,1,0,0,0.0,-37.97127399999954,,,1,-37.97127399999954,-37.97127399999954,0.0,-37.97127399999954,0.38600946846243817,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,combined_cover,current,1,0,0,0.0,-629.576669,,,1,-629.576669,-629.576669,0.0,-629.576669,6.400168594739416,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,coverage,current,1,0,0,0.0,-450.75954099999944,,,1,-450.75954099999944,-450.75954099999944,0.0,-450.75954099999944,4.5823442960008265,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,local_cover,current,1,0,0,0.0,-37.97127399999954,,,1,-37.97127399999954,-37.97127399999954,0.0,-37.97127399999954,0.38600946846243817,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,combined_cover,current,1,0,0,0.0,-629.576669,,,1,-629.576669,-629.576669,0.0,-629.576669,6.400168594739416,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,coverage,current,1,0,0,0.0,-450.75954099999944,,,1,-450.75954099999944,-450.75954099999944,0.0,-450.75954099999944,4.5823442960008265,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,local_cover,current,1,0,0,0.0,-37.97127399999954,,,1,-37.97127399999954,-37.97127399999954,0.0,-37.97127399999954,0.38600946846243817,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,combined_cover,current,1,0,0,0.0,-629.576669,,,1,-629.576669,-629.576669,0.0,-629.576669,6.400168594739416,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,coverage,current,1,0,0,0.0,-450.75954099999944,,,1,-450.75954099999944,-450.75954099999944,0.0,-450.75954099999944,4.5823442960008265,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,development,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,local_cover,current,1,0,0,0.0,-37.97127399999954,,,1,-37.97127399999954,-37.97127399999954,0.0,-37.97127399999954,0.38600946846243817,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,all,combined_cover,current,1,0,0,0.0,-2521.0162070000006,,,1,-2521.0162070000006,-2521.0162070000006,0.0,-2521.0162070000006,22.43742555461253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,all,coverage,current,1,0,0,0.0,-2395.1765380000015,,,1,-2395.1765380000015,-2395.1765380000015,0.0,-2395.1765380000015,21.317433466832764,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,all,local_cover,current,1,0,0,0.0,552.721712999999,,,1,552.721712999999,552.721712999999,1.0,552.721712999999,-4.9193068467470535,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,deterministic,combined_cover,current,1,0,0,0.0,-2521.0162070000006,,,1,-2521.0162070000006,-2521.0162070000006,0.0,-2521.0162070000006,22.43742555461253,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,deterministic,coverage,current,1,0,0,0.0,-2395.1765380000015,,,1,-2395.1765380000015,-2395.1765380000015,0.0,-2395.1765380000015,21.317433466832764,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
