case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-calibrated-p3-0005-8fc1390efd33a81f,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-553.7920020000001,-431.79199729063066,-140,0,18,0,-2158.959986453152,-28,6,6,-4.709369477495784e-06
round-calibrated-p3-0023-0a2d68df44373a75,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-477.5943470000002,-360.594342489901,-135,0,18,0,-1802.9717124495037,-27,6,6,-4.510099188337335e-06
round-calibrated-p3-0026-35433c5d5fce37f8,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-114.44631699999991,-81.44631907765324,-75,0,42,0,-407.2315953882644,-15,14,14,2.0776533347088844e-06
round-calibrated-p3-0031-9f0923362ce66c4e,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-773.4960249999995,-634.4960202935426,-190,0,51,0,-3172.4801014677105,-38,17,17,-4.706456820713356e-06
round-calibrated-p3-0033-143ac6013ec1965b,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-572.777349,-468.77734527959,-125,0,21,0,-2343.886726397952,-25,7,7,-3.7204099498922005e-06
round-calibrated-p3-0038-9a37d6f8a8834cb1,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-365.7884950000007,-286.78849033688493,-130,0,51,0,-1433.9424516844265,-26,17,17,-4.663115760195069e-06
round-calibrated-p3-0045-dbe41c7bff121d88,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-414.0640229999999,-308.0640187479812,-130,0,24,0,-1540.3200937399051,-26,8,8,-4.252018698025495e-06
round-calibrated-p3-0055-afa872ef4b03de17,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-380.3771630000001,-324.37716007792324,-95,0,39,0,-1621.8858003896166,-19,13,13,-2.9220768738014158e-06
round-calibrated-p3-0058-618e766dc92e0604,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-283.64286200000015,-224.6428612654795,-95,0,36,0,-1123.214306327398,-19,12,12,-7.345206540776417e-07
round-calibrated-p3-0061-f7090ea1cc53c803,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-431.976776,-324.9767718082744,-125,0,18,0,-1624.8838590413725,-25,6,6,-4.191725565760862e-06
round-calibrated-p3-0064-d842bb05d9414fa0,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-628.9936029999999,-477.99360081171744,-160,0,9,0,-2389.9680040585845,-32,3,3,-2.18828245124314e-06
round-calibrated-p3-0069-bc6ec12dc9b62926,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-523.9554899999994,-431.95548507129115,-110,0,18,0,-2159.7774253564567,-22,6,6,-4.928708221996203e-06
round-calibrated-p3-0070-04da4f1f58d6f2b1,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-312.334969,-249.3349659016667,-90,0,27,0,-1246.6748295083326,-18,9,9,-3.098333309026202e-06
round-calibrated-p3-0073-ac5bd1468b1578f6,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-815.9108310000001,-642.9108247674749,-200,0,27,0,-3214.5541238373735,-40,9,9,-6.232525265659206e-06
round-calibrated-p3-0079-a88031c0c0fb67fc,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-269.5748960000001,-235.5748938492211,-85,0,51,0,-1177.8744692461041,-17,17,17,-2.1507789824681822e-06
round-calibrated-p3-0088-fd1b970a1b374237,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-583.549779,-447.54977526076163,-175,0,39,0,-2237.7488763038054,-35,13,13,-3.7392383092083037e-06
round-calibrated-p3-0097-8b813ca188debf96,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-823.5637660000002,-665.5637604524882,-185,0,27,0,-3327.8188022624417,-37,9,9,-5.5475120461778715e-06
round-calibrated-p3-0106-8e631d80c4254850,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-568.5888219999997,-474.58881671083145,-145,0,51,0,-2372.9440835541573,-29,17,17,-5.289168257149868e-06
round-calibrated-p3-0107-a2bc197d893ad66a,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-164.5057840000004,-134.5057808447923,-75,0,45,0,-672.5289042239601,-15,15,15,-3.1552081054542214e-06
round-calibrated-p3-0111-a27390556a0a2496,3,calibrated,broad_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-521.1052540000001,-440.1052530219704,-135,0,54,0,-2200.526265109853,-27,18,18,-9.780296750250272e-07
round-calibrated-p3-0112-3a0c26690ac35954,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-476.2741249999999,-383.2741213139675,-105,0,12,0,-1916.3706065698389,-21,4,4,-3.6860324144072365e-06
round-calibrated-p3-0114-981941ede07ab246,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-426.07384999999977,-371.0738455219507,-130,0,75,0,-1855.36922760975,-26,25,25,-4.478049049794208e-06
round-calibrated-p3-0116-4bc96b4a1e52a4c3,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-969.7630910000007,-794.7630845756921,-190,0,15,0,-3973.8154228784624,-38,5,5,-6.4243085944326594e-06
round-calibrated-p3-0120-d9aab0b02e36d34e,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-669.5681910000003,-557.5681867532362,-130,0,18,0,-2787.8409337661815,-26,6,6,-4.246764092386002e-06
round-calibrated-p3-0121-0a355dd5d5bdb1e3,3,calibrated,broad_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-599.887041,-489.8870342193586,-170,0,60,0,-2449.435171096793,-34,20,20,-6.7806413426296785e-06
round-calibrated-p3-0124-74623875279ba88d,3,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-177.28473099999974,-132.28472886415148,-75,0,30,0,-661.4236443207556,-15,10,10,-2.135848262696527e-06
round-calibrated-p3-0130-610ee988360eaea9,3,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,confirmation,joint_triangular_l1,joint_triangular_l5,True,True,-596.4797410000001,-512.479735846955,-135,0,51,0,-2562.398679234775,-27,17,17,-5.153045094630215e-06
