problem,pool,composition_model,partition,variant,mechanism_id,n_pairs,baseline_failures,candidate_failures,interpretation,total_actual_time_delta_s_mean,movement_s_delta_mean,measurement_s_delta_mean,switch_s_delta_mean,optical_s_delta_mean,laser_s_delta_mean,walk_distance_m_delta_mean,measures_delta_mean,clear_attempts_delta_mean,failed_clear_attempts_delta_mean
3,broad,broad_joint,confirmation,joint_triangular_l1,__design_mixture__,40,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-467.9717591,-384.27175533834225,-123.75,0.0,40.05,0.0,-1921.358776691711,-24.75,13.35,13.35
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-539.5367504999999,-448.0367440649143,-135.0,0.0,43.5,0.0,-2240.1837203245723,-27.0,14.5,14.5
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_300,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-939.876233,-760.8762259248238,-215.0,0.0,36.0,0.0,-3804.3811296241183,-43.0,12.0,12.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-658.4871539999999,-543.987149025136,-147.5,0.0,33.0,0.0,-2719.935745125679,-29.5,11.0,11.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-1104.0238280000003,-926.0238206295635,-220.0,0.0,42.0,0.0,-4630.119103147819,-44.0,14.0,14.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-693.391701,-580.391694179428,-177.5,0.0,64.5,0.0,-2901.9584708971397,-35.5,21.5,21.5
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_150,4,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-659.3155344999999,-557.3155301478614,-157.5,0.0,55.5,0.0,-2786.5776507393057,-31.5,18.5,18.5
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-108.5805734999999,-135.58057099518783,-82.5,0.0,109.5,0.0,-677.9028549759387,-16.5,36.5,36.5
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_min__noise_correlated__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-543.6622794999998,-404.16227645024105,-165.0,0.0,25.5,0.0,-2020.811382251206,-33.0,8.5,8.5
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_min__noise_deterministic__scale_300,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-247.03628966666656,-198.0362877603167,-70.0,0.0,21.0,0.0,-990.1814388015833,-14.0,7.0,7.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_min__noise_deterministic__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-265.32354099999975,-220.82353773237833,-62.5,0.0,18.0,0.0,-1104.1176886618905,-12.5,6.0,6.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_min__noise_extreme__scale_150,4,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-144.04509025000016,-112.79508904879071,-46.25,0.0,15.0,0.0,-563.9754452439538,-9.25,5.0,5.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_min__noise_extreme__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-361.99771899999996,-276.99771743911424,-85.0,0.0,0.0,0.0,-1384.9885871955703,-17.0,0.0,0.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_min__noise_extreme__scale_75,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-250.76523266666663,-196.76523109518757,-85.0,0.0,31.0,0.0,-983.8261554759387,-17.0,10.333333333333334,10.333333333333334
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_correlated__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-521.2896140000003,-403.2896088391899,-160.0,0.0,42.0,0.0,-2016.4480441959458,-32.0,14.0,14.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_correlated__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-565.6349485000001,-466.6349450263956,-120.0,0.0,21.0,0.0,-2333.1747251319784,-24.0,7.0,7.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_deterministic__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-429.7950300000002,-384.7950252650435,-135.0,0.0,90.0,0.0,-1923.9751263252183,-27.0,30.0,30.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_deterministic__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-420.9889554999995,-336.98895232793075,-127.5,0.0,43.5,0.0,-1684.9447616396537,-25.5,14.5,14.5
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_extreme__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-494.134943,-399.1349407854864,-155.0,0.0,60.0,0.0,-1995.6747039274305,-31.0,20.0,20.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_extreme__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-285.4148720000003,-230.41486840712605,-130.0,0.0,75.0,0.0,-1152.0743420356303,-26.0,25.0,25.0
3,broad,broad_joint,confirmation,joint_triangular_l1,assumption__radius_mixed__noise_extreme__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-404.52678600000036,-329.526781437351,-105.0,0.0,30.0,0.0,-1647.633907186755,-21.0,10.0,10.0
3,calibrated,broad_joint,confirmation,joint_triangular_l1,__design_mixture__,20,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-499.72004230000005,-401.52003864645883,-129.25,0.0,31.05,0.0,-2007.6001932322936,-25.85,10.35,10.35
3,calibrated,broad_joint,confirmation,joint_triangular_l1,mixed_correlated150_after_observable_screen,11,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-557.1507688181819,-440.6053098576677,-138.63636363636363,0.0,22.09090909090909,0.0,-2203.0265492883386,-27.727272727272727,7.363636363636363,7.363636363636363
3,calibrated,broad_joint,confirmation,joint_triangular_l1,mixed_extreme150_after_observable_screen,9,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-429.5269321111111,-353.74915161053684,-117.77777777777777,0.0,42.0,0.0,-1768.7457580526834,-23.555555555555557,14.0,14.0
3,calibrated,smoothed_joint,confirmation,joint_triangular_l1,__design_mixture__,20,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-445.3573357,-358.757332020392,-125.75,0.0,39.15,0.0,-1793.7866601019596,-25.15,13.05,13.05
