case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
round-calibrated-p3-0005-8fc1390efd33a81f,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-553.7920020000001,-553.7920020000001,10.395492075009622,5327.232208,4773.440206
round-calibrated-p3-0023-0a2d68df44373a75,3,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-477.5943470000002,-477.5943470000002,9.3746712078792,5094.518372,4616.924025
round-calibrated-p3-0026-35433c5d5fce37f8,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-114.44631699999991,-114.44631699999991,2.705281163015695,4230.477725,4116.031408
round-calibrated-p3-0031-9f0923362ce66c4e,3,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-773.4960249999995,-773.4960249999995,12.822481885915387,6032.342505,5258.84648
round-calibrated-p3-0033-143ac6013ec1965b,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-572.777349,-572.777349,10.555830451189395,5426.170415,4853.393066
round-calibrated-p3-0038-9a37d6f8a8834cb1,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-365.7884950000007,-365.7884950000007,7.151588483119934,5114.786678,4748.998183
round-calibrated-p3-0045-dbe41c7bff121d88,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-414.0640229999999,-414.0640229999999,7.540949475169082,5490.873853,5076.80983
round-calibrated-p3-0055-afa872ef4b03de17,3,calibrated,broad_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-380.3771630000001,-380.3771630000001,7.635162115163073,4981.91338,4601.536217
round-calibrated-p3-0058-618e766dc92e0604,3,calibrated,smoothed_joint,confirmation,extreme,joint_triangular_l1,mixed_extreme150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-283.64286200000015,-283.64286200000015,6.535763958317771,4339.857801,4056.214939
round-calibrated-p3-0061-f7090ea1cc53c803,3,calibrated,broad_joint,confirmation,correlated,joint_triangular_l1,mixed_correlated150_after_observable_screen,unresolved,True,True,joint_triangular_l5,True,0,-431.976776,-431.976776,10.423780013663505,4144.147089,3712.170313
