pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,joint_triangular_l1,joint_triangular_l5,40,0,0,0.0,-467.9717591,-557.0268561112498,-386.21358965687494,40,-467.9717591,-413.21826199999987,0.025,4.228382000000238,8.895833960917564,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-559.5665450875,-381.70688852625
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l1,joint_triangular_l5,12,0,0,0.0,-662.9633815,-785.1887460062499,-547.7751710479166,12,-662.9633815,-625.4103049999999,0.0,-390.0769989999999,12.434808730030307,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-781.7833239291666,-552.5237498020833
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l1,joint_triangular_l5,11,0,0,0.0,-457.66692018181806,-644.6788428863637,-292.6648876022725,11,-457.66692018181806,-386.7886179999996,0.0,-51.03538200000003,8.500331176898154,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-654.0557815727273,-294.13729535454536
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l1,joint_triangular_l5,17,0,0,0.0,-336.9984508235295,-452.71929756029397,-230.70397270441188,17,-336.9984508235295,-276.28926500000034,0.058823529411764705,4.228382000000238,6.653647690027011,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-449.47110308529415,-232.4479609397061
broad,3,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,all,joint_triangular_l1,joint_triangular_l5,40,0,0,0.0,-467.9717591,-555.88581036375,-381.846709196875,40,-467.9717591,-413.21826199999987,0.025,4.228382000000238,8.895833960917564,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-555.0411246137498,-385.585550766875
broad,3,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l1,joint_triangular_l5,12,0,0,0.0,-662.9633815,-783.29439748125,-553.6923337979167,12,-662.9633815,-625.4103049999999,0.0,-390.0769989999999,12.434808730030307,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-788.2459576520831,-551.6689892333334
broad,3,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l1,joint_triangular_l5,11,0,0,0.0,-457.66692018181806,-653.8994850386363,-295.2077711999999,11,-457.66692018181806,-386.7886179999996,0.0,-51.03538200000003,8.500331176898154,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-652.255567415909,-295.84159398409105
broad,3,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l1,joint_triangular_l5,17,0,0,0.0,-336.9984508235295,-454.8719360191175,-234.07115266911777,17,-336.9984508235295,-276.28926500000034,0.058823529411764705,4.228382000000238,6.653647690027011,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-456.70846920588247,-233.18039520294124
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-539.5367504999999,-646.1813679999996,-432.8921330000003,2,-539.5367504999999,-539.5367504999999,0.0,-432.8921330000003,10.751217985463022,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-646.1813679999996,-432.8921330000003
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,joint_triangular_l1,joint_triangular_l5,2,0,0,0.0,-539.5367504999999,-646.1813679999996,-432.8921330000003,2,-539.5367504999999,-539.5367504999999,0.0,-432.8921330000003,10.751217985463022,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-646.1813679999996,-432.8921330000003
