case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
round-broad-p3-0000-88fcceae4f18c65d,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-250.2706849999995,-210.2706825757532,-70,0,30,0,-1051.353412878765,-14,10,10,-2.424246304144617e-06
round-broad-p3-0000-88fcceae4f18c65d,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-197.66623100000015,-179.66622928532024,-45,0,27,0,-898.3311464266008,-9,9,9,-1.7146799109468702e-06
round-broad-p3-0000-88fcceae4f18c65d,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-130.062723,-123.06272376880315,-25,0,18,0,-615.3136188440149,-5,6,6,7.688031473662704e-07
round-broad-p3-0001-c06ee063c87e0f5b,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-342.6014299999997,-255.60142547148962,-105,0,18,0,-1278.0071273574467,-21,6,6,-4.528510089585325e-06
round-broad-p3-0001-c06ee063c87e0f5b,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-270.65302299999985,-212.65301904971875,-70,0,12,0,-1063.2650952485928,-14,4,4,-3.950281097786501e-06
round-broad-p3-0001-c06ee063c87e0f5b,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-165.92319099999986,-137.92318930692454,-40,0,12,0,-689.6159465346209,-8,4,4,-1.6930753190536052e-06
round-broad-p3-0002-f1e3dd4d3396341e,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-305.772833,-215.77283042063846,-135,0,45,0,-1078.8641521031932,-27,15,15,-2.579361535026692e-06
round-broad-p3-0002-f1e3dd4d3396341e,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-241.36649699999998,-181.36649553120742,-90,0,30,0,-906.8324776560366,-18,10,10,-1.4687925613543484e-06
round-broad-p3-0002-f1e3dd4d3396341e,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-179.7968719999999,-151.79687110673967,-55,0,27,0,-758.9843555336993,-11,9,9,-8.932602213462815e-07
round-broad-p3-0003-b2194eb25ac237f0,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-670.3927459999995,-586.3927447626788,-150,0,66,0,-2931.9637238133946,-30,22,22,-1.2373207027849276e-06
round-broad-p3-0003-b2194eb25ac237f0,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-523.5219209999996,-456.52192085699426,-100,0,33,0,-2282.6096042849713,-20,11,11,-1.4300530892796814e-07
round-broad-p3-0003-b2194eb25ac237f0,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-357.60278599999947,-319.6027873665571,-65,0,27,0,-1598.0139368327873,-13,9,9,1.3665576261701062e-06
round-broad-p3-0004-6d1eb0820522e1cf,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-1092.6465590000007,-918.6465534863851,-210,0,36,0,-4593.232767431924,-42,12,12,-5.513615633390145e-06
round-broad-p3-0004-6d1eb0820522e1cf,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-765.5731390000001,-639.5731347531973,-150,0,24,0,-3197.865673765984,-30,8,8,-4.246802745910827e-06
round-broad-p3-0004-6d1eb0820522e1cf,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-555.640754,-473.6407509973742,-100,0,18,0,-2368.203754986869,-20,6,6,-3.0026258173165843e-06
round-broad-p3-0005-0c8e5c1f980c5477,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-410.9898039999998,-394.9898014086166,-100,0,84,0,-1974.9490070430838,-20,28,28,-2.5913832359947264e-06
round-broad-p3-0005-0c8e5c1f980c5477,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-263.73788800000057,-265.73788589942114,-55,0,57,0,-1328.6894294971062,-11,19,19,-2.1005794224038254e-06
round-broad-p3-0005-0c8e5c1f980c5477,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-187.558,-175.5579988802251,-30,0,18,0,-877.789994401126,-6,6,6,-1.119774879043689e-06
round-broad-p3-0006-761ac7c96b191c99,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-450.43989000000056,-348.43988735762514,-135,0,33,0,-1742.1994367881234,-27,11,11,-2.6423754206916783e-06
round-broad-p3-0006-761ac7c96b191c99,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,joint_triangular_l2,joint_triangular_l5,True,True,-324.1202740000008,-252.12026912566262,-90,0,18,0,-1260.6013456283108,-18,6,6,-4.8743381739768665e-06
round-broad-p3-0006-761ac7c96b191c99,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,joint_triangular_l3,joint_triangular_l5,True,True,-238.21305500000017,-193.2130514264677,-60,0,15,0,-966.0652571323371,-12,5,5,-3.573532467271434e-06
round-broad-p3-0007-9245bc4253ad5919,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,joint_triangular_l1,joint_triangular_l5,True,True,-381.83915799999977,-317.8391585928466,-100,0,36,0,-1589.195792964234,-20,12,12,5.928468453930691e-07
