problem,pool,composition_model,partition,variant,mechanism_id,n_pairs,baseline_failures,candidate_failures,interpretation,total_actual_time_delta_s_mean,movement_s_delta_mean,measurement_s_delta_mean,switch_s_delta_mean,optical_s_delta_mean,laser_s_delta_mean,walk_distance_m_delta_mean,measures_delta_mean,clear_attempts_delta_mean,failed_clear_attempts_delta_mean
3,broad,broad_joint,development,joint_triangular_l1,__design_mixture__,160,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-470.63981397500004,-383.55856062342605,-122.96875,0.0,35.8875,0.0,-1917.7928031171305,-24.59375,11.9625,11.9625
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_150,5,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-766.8039016000001,-619.4038958744391,-184.0,0.0,36.6,0.0,-3097.0194793721953,-36.8,12.2,12.2
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_300,4,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-780.9529867499998,-636.4529813451245,-173.75,0.0,29.25,0.0,-3182.2649067256225,-34.75,9.75,9.75
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_75,6,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-880.4707760000002,-731.6374382964717,-185.83333333333334,0.0,37.0,0.0,-3658.1871914823582,-37.166666666666664,12.333333333333334,12.333333333333334
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_150,7,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-714.5503945714283,-610.9789627390863,-155.0,0.0,51.42857142857143,0.0,-3054.894813695432,-31.0,17.142857142857142,17.142857142857142
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_300,6,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-537.9557508333334,-445.2890794445006,-144.16666666666666,0.0,51.5,0.0,-2226.445397222504,-28.833333333333332,17.166666666666668,17.166666666666668
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_75,6,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-584.6887654999997,-495.8554284219706,-133.33333333333334,0.0,44.5,0.0,-2479.2771421098523,-26.666666666666668,14.833333333333334,14.833333333333334
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_150,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-470.2562056666666,-406.5895361082982,-116.66666666666667,0.0,53.0,0.0,-2032.9476805414924,-23.333333333333332,17.666666666666668,17.666666666666668
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_300,7,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-525.6825327142858,-438.5396714704133,-142.85714285714286,0.0,55.714285714285715,0.0,-2192.698357352066,-28.571428571428573,18.571428571428573,18.571428571428573
3,broad,broad_joint,development,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_75,6,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-399.2053756666666,-363.372039341278,-105.83333333333333,0.0,70.0,0.0,-1816.8601967063908,-21.166666666666668,23.333333333333332,23.333333333333332
