case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
round-broad-p3-0000-88fcceae4f18c65d,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-250.2706849999995,-250.2706849999995,5.1766058892768605,4834.64823,4584.377545
round-broad-p3-0000-88fcceae4f18c65d,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-197.66623100000015,-197.66623100000015,4.08853388284674,4834.64823,4636.981999
round-broad-p3-0000-88fcceae4f18c65d,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-130.062723,-130.062723,2.690221021519905,4834.64823,4704.585507
round-broad-p3-0001-c06ee063c87e0f5b,3,broad,broad_joint,development,correlated,joint_triangular_l1,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-342.6014299999997,-342.6014299999997,7.192631232880416,4763.228072,4420.626642
round-broad-p3-0001-c06ee063c87e0f5b,3,broad,broad_joint,development,correlated,joint_triangular_l2,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-270.65302299999985,-270.65302299999985,5.6821344455663905,4763.228072,4492.575049
round-broad-p3-0001-c06ee063c87e0f5b,3,broad,broad_joint,development,correlated,joint_triangular_l3,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-165.92319099999986,-165.92319099999986,3.4834189858629103,4763.228072,4597.304881
round-broad-p3-0002-f1e3dd4d3396341e,3,broad,broad_joint,development,extreme,joint_triangular_l1,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-305.772833,-305.772833,5.946257088342366,5142.274013,4836.50118
round-broad-p3-0002-f1e3dd4d3396341e,3,broad,broad_joint,development,extreme,joint_triangular_l2,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-241.36649699999998,-241.36649699999998,4.693769651127301,5142.274013,4900.907516
round-broad-p3-0002-f1e3dd4d3396341e,3,broad,broad_joint,development,extreme,joint_triangular_l3,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-179.7968719999999,-179.7968719999999,3.496446738261357,5142.274013,4962.477141
round-broad-p3-0003-b2194eb25ac237f0,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-670.3927459999995,-670.3927459999995,13.342821200891878,5024.370303,4353.977557
round-broad-p3-0003-b2194eb25ac237f0,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-523.5219209999996,-523.5219209999996,10.419652402758015,5024.370303,4500.848382
round-broad-p3-0003-b2194eb25ac237f0,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-357.60278599999947,-357.60278599999947,7.1173652504569285,5024.370303,4666.767517
round-broad-p3-0004-6d1eb0820522e1cf,3,broad,broad_joint,development,correlated,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-1092.6465590000007,-1092.6465590000007,19.31671753176104,5656.481528,4563.834969
round-broad-p3-0004-6d1eb0820522e1cf,3,broad,broad_joint,development,correlated,joint_triangular_l2,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-765.5731390000001,-765.5731390000001,13.534440715670273,5656.481528,4890.908389
round-broad-p3-0004-6d1eb0820522e1cf,3,broad,broad_joint,development,correlated,joint_triangular_l3,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-555.640754,-555.640754,9.823080854229566,5656.481528,5100.840774
round-broad-p3-0005-0c8e5c1f980c5477,3,broad,broad_joint,development,extreme,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-410.9898039999998,-410.9898039999998,8.851288921252069,4643.276337,4232.286533
round-broad-p3-0005-0c8e5c1f980c5477,3,broad,broad_joint,development,extreme,joint_triangular_l2,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-263.73788800000057,-263.73788800000057,5.679995521662198,4643.276337,4379.538449
round-broad-p3-0005-0c8e5c1f980c5477,3,broad,broad_joint,development,extreme,joint_triangular_l3,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-187.558,-187.558,4.0393460648775505,4643.276337,4455.718337
round-broad-p3-0006-761ac7c96b191c99,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-450.43989000000056,-450.43989000000056,8.91477313326458,5052.735311,4602.295421
round-broad-p3-0006-761ac7c96b191c99,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-324.1202740000008,-324.1202740000008,6.414748726187544,5052.735311,4728.615037
round-broad-p3-0006-761ac7c96b191c99,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-238.21305500000017,-238.21305500000017,4.714536589347974,5052.735311,4814.522256
round-broad-p3-0007-9245bc4253ad5919,3,broad,broad_joint,development,correlated,joint_triangular_l1,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-381.83915799999977,-381.83915799999977,8.507261917406106,4488.390762,4106.551604
round-broad-p3-0007-9245bc4253ad5919,3,broad,broad_joint,development,correlated,joint_triangular_l2,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-282.10309899999993,-282.10309899999993,6.285172436151626,4488.390762,4206.287663
round-broad-p3-0007-9245bc4253ad5919,3,broad,broad_joint,development,correlated,joint_triangular_l3,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-169.76786600000014,-169.76786600000014,3.7823771369753154,4488.390762,4318.622896
round-broad-p3-0008-f0e86511e4801933,3,broad,broad_joint,development,extreme,joint_triangular_l1,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-147.66007600000012,-147.66007600000012,3.293186703531131,4483.80518,4336.145104
round-broad-p3-0008-f0e86511e4801933,3,broad,broad_joint,development,extreme,joint_triangular_l2,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-189.94908399999986,-189.94908399999986,4.236336691149455,4483.80518,4293.856096
round-broad-p3-0008-f0e86511e4801933,3,broad,broad_joint,development,extreme,joint_triangular_l3,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-105.31511500000033,-105.31511500000033,2.3487888249417725,4483.80518,4378.490065
round-broad-p3-0009-573205f06899cef2,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-216.30584399999952,-216.30584399999952,4.601752820456857,4700.509837,4484.203993
round-broad-p3-0009-573205f06899cef2,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-130.75388999999996,-130.75388999999996,2.781695912447039,4700.509837,4569.755947
round-broad-p3-0009-573205f06899cef2,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-95.264005,-95.264005,2.0266738780149054,4700.509837,4605.245832
round-broad-p3-0011-01e4dec5b22cbf67,3,broad,broad_joint,development,extreme,joint_triangular_l1,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-339.6913990000003,-339.6913990000003,5.916866835055036,5741.068854,5401.377455
round-broad-p3-0011-01e4dec5b22cbf67,3,broad,broad_joint,development,extreme,joint_triangular_l2,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-313.83740899999975,-313.83740899999975,5.466532748189189,5741.068854,5427.231445
round-broad-p3-0011-01e4dec5b22cbf67,3,broad,broad_joint,development,extreme,joint_triangular_l3,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-228.4268060000004,-228.4268060000004,3.978820178072722,5741.068854,5512.642048
round-broad-p3-0012-36b63f027556b893,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-1010.5048059999999,-1010.5048059999999,21.24437871918805,4756.574995,3746.070189
round-broad-p3-0012-36b63f027556b893,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-695.6179929999998,-695.6179929999998,14.624346167803875,4756.574995,4060.957002
round-broad-p3-0012-36b63f027556b893,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_max__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-497.6299449999997,-497.6299449999997,10.461938380517424,4756.574995,4258.94505
round-broad-p3-0013-ea080c99b94abef8,3,broad,broad_joint,development,correlated,joint_triangular_l1,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-820.3226320000003,-820.3226320000003,13.673303462776081,5999.447275,5179.124643
round-broad-p3-0013-ea080c99b94abef8,3,broad,broad_joint,development,correlated,joint_triangular_l2,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-634.2057780000005,-634.2057780000005,10.571070115788299,5999.447275,5365.241497
round-broad-p3-0013-ea080c99b94abef8,3,broad,broad_joint,development,correlated,joint_triangular_l3,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-477.91871700000047,-477.91871700000047,7.966045788776441,5999.447275,5521.528558
round-broad-p3-0014-867c903984fba750,3,broad,broad_joint,development,extreme,joint_triangular_l1,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-317.9837259999995,-317.9837259999995,7.143341538189468,4451.470286,4133.48656
round-broad-p3-0014-867c903984fba750,3,broad,broad_joint,development,extreme,joint_triangular_l2,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-212.82719899999938,-212.82719899999938,4.781054018699102,4451.470286,4238.643087
round-broad-p3-0014-867c903984fba750,3,broad,broad_joint,development,extreme,joint_triangular_l3,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-127.16818199999943,-127.16818199999943,2.8567680750323543,4451.470286,4324.302104
round-broad-p3-0015-dd672ef356f1076c,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-135.64440900000045,-135.64440900000045,3.218147519573681,4214.984185,4079.339776
round-broad-p3-0015-dd672ef356f1076c,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-121.8873580000004,-121.8873580000004,2.8917631158324357,4214.984185,4093.096827
round-broad-p3-0015-dd672ef356f1076c,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-79.68400800000018,-79.68400800000018,1.890493641318376,4214.984185,4135.300177
round-broad-p3-0016-58eb73e8f06f7e17,3,broad,broad_joint,development,correlated,joint_triangular_l1,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-742.1891299999997,-742.1891299999997,12.780257376212003,5807.309729,5065.120599
round-broad-p3-0016-58eb73e8f06f7e17,3,broad,broad_joint,development,correlated,joint_triangular_l2,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-587.0001869999996,-587.0001869999996,10.107953844250687,5807.309729,5220.309542
round-broad-p3-0016-58eb73e8f06f7e17,3,broad,broad_joint,development,correlated,joint_triangular_l3,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-395.0943639999996,-395.0943639999996,6.803397484157154,5807.309729,5412.215365
round-broad-p3-0018-91eb169832ddc1e7,3,broad,broad_joint,development,deterministic,joint_triangular_l1,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-188.31331599999976,-188.31331599999976,3.366430331770663,5593.857512,5405.544196
round-broad-p3-0018-91eb169832ddc1e7,3,broad,broad_joint,development,deterministic,joint_triangular_l2,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-150.47752599999967,-150.47752599999967,2.6900493206556257,5593.857512,5443.379986
round-broad-p3-0018-91eb169832ddc1e7,3,broad,broad_joint,development,deterministic,joint_triangular_l3,assumption__radius_min__noise_deterministic__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-95.71233199999915,-95.71233199999915,1.711025563212436,5593.857512,5498.14518
round-broad-p3-0019-b5ce3f08f02f76d1,3,broad,broad_joint,development,correlated,joint_triangular_l1,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-350.294257,-350.294257,8.286740171768043,4227.165927,3876.87167
round-broad-p3-0019-b5ce3f08f02f76d1,3,broad,broad_joint,development,correlated,joint_triangular_l2,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-293.92468099999996,-293.92468099999996,6.953232640399261,4227.165927,3933.241246
round-broad-p3-0019-b5ce3f08f02f76d1,3,broad,broad_joint,development,correlated,joint_triangular_l3,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-223.03651200000013,-223.03651200000013,5.276265844579423,4227.165927,4004.129415
round-broad-p3-0020-1b326dd4959d3b92,3,broad,broad_joint,development,extreme,joint_triangular_l1,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-495.3508160000001,-495.3508160000001,9.247071735308078,5356.839767,4861.488951
round-broad-p3-0020-1b326dd4959d3b92,3,broad,broad_joint,development,extreme,joint_triangular_l2,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-399.6483050000006,-399.6483050000006,7.4605237860944325,5356.839767,4957.191462
round-broad-p3-0020-1b326dd4959d3b92,3,broad,broad_joint,development,extreme,joint_triangular_l3,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,True,True,joint_triangular_l5,True,0,-302.5670820000005,-302.5670820000005,5.648238423406261,5356.839767,5054.272685
