pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,joint_triangular_l1,joint_triangular_l5,160,0,0,0.0,-470.63981397500004,-510.13099083875,-435.31563883578133,160,-470.63981397500004,-423.5614234999998,0.0,-44.94883800000025,9.362763058380292,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-508.02699381406245,-434.5490893257813
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,joint_triangular_l2,joint_triangular_l5,160,0,0,0.0,-348.32380761875,-376.8802124817187,-319.88172814859377,160,-348.32380761875,-319.4038290000003,0.0,-25.54374100000041,6.9281117814667965,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-376.91435721484385,-320.764225814375
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,joint_triangular_l3,joint_triangular_l5,160,0,0,0.0,-238.16868354999997,-259.1415518590625,-218.09315684984378,160,-238.16868354999997,-224.9212050000001,0.0,-8.830489999999372,4.730871706202869,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-259.1587902584374,-218.42987205156246
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l1,joint_triangular_l5,55,0,0,0.0,-552.2285585636364,-616.7627941722726,-488.4185664345454,55,-552.2285585636364,-512.7314969999998,0.0,-117.74840500000028,10.88281465700158,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-618.2277477904546,-489.3205102895457
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l2,joint_triangular_l5,55,0,0,0.0,-410.34610949090904,-458.1906603295453,-360.4389255263636,55,-410.34610949090904,-351.91815700000006,0.0,-88.78842299999997,8.093376050232921,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-459.672741890909,-363.71561639636366
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,joint_triangular_l3,joint_triangular_l5,55,0,0,0.0,-283.0065395090909,-320.2696171277271,-248.11963120818186,55,-283.0065395090909,-258.1854979999998,0.0,-60.79600299999947,5.585227336731664,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-320.73133299272735,-248.94369839636354
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l1,joint_triangular_l5,56,0,0,0.0,-475.8138316607142,-550.4881691348213,-409.0732499517857,56,-475.8138316607142,-452.0100030000003,0.0,-74.16711899999973,9.360454823444957,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-541.0698735066964,-408.20487015401784
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l2,joint_triangular_l5,56,0,0,0.0,-353.3343219464286,-405.0043662196429,-306.3419835625,56,-353.3343219464286,-345.6978009999998,0.0,-48.78682099999969,6.959908164511782,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-405.174167166518,-302.82216556875
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,joint_triangular_l3,joint_triangular_l5,56,0,0,0.0,-246.1118519285714,-283.0605326169643,-211.64656010892847,56,-246.1118519285714,-240.2084850000001,0.0,-8.830489999999372,4.849759211961046,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-283.5114692410714,-210.8144316714285
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l1,joint_triangular_l5,49,0,0,0.0,-373.14744779591837,-413.17034168061235,-331.5587519418368,49,-373.14744779591837,-378.07067199999983,0.0,-44.94883800000025,7.659220675364121,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-417.39345203724486,-331.16377649489795
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l2,joint_triangular_l5,49,0,0,0.0,-272.98063608163267,-306.6223233688776,-238.8679827107143,49,-272.98063608163267,-267.22685400000046,0.0,-25.54374100000041,5.583823368555449,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-303.620123102551,-241.99045480714284
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,joint_triangular_l3,joint_triangular_l5,49,0,0,0.0,-178.76257116326528,-201.41529016632649,-156.5076652647959,49,-178.76257116326528,-169.42848499999945,0.0,-28.25840100000005,3.6360296653550805,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,-200.50845627704072,-157.20973608724495
