model_candidate,problem,protocol,n_cases,complete_cases,hull_invariant_violations,total_virtual_time_s_mean,failure_penalized_time_s_mean,program_real_time_s_mean,model_comparison_status
smoothed_joint__radius_max__noise_deterministic,3,baseline,2,2,0,4614.9061535,4614.9061535,1.6978170999791473,not_yet_checked_against_official_observables
smoothed_joint__radius_max__noise_deterministic,3,survey,1,1,0,13380.610648,13380.610648,0.9780362999299541,not_yet_checked_against_official_observables
smoothed_joint__radius_max__noise_deterministic,4,baseline,2,2,0,11447.527088499999,11447.527088499999,2.5017493499908596,not_yet_checked_against_official_observables
smoothed_joint__radius_max__noise_deterministic,4,survey,1,1,0,17649.720079,17649.720079,1.1315475999144837,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,3,baseline,2,2,0,4954.009357,4954.009357,1.2084794500260614,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,3,survey,1,1,0,14135.741312,14135.741312,1.364123999956064,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,4,baseline,2,2,0,10367.2812085,10367.2812085,3.028961799980607,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,4,survey,1,1,0,18202.74761,18202.74761,1.5222836000612006,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,3,baseline,2,2,0,4691.362454,4691.362454,1.4826841999893077,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,3,survey,1,1,0,13762.207982,13762.207982,1.6123050999594852,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,4,baseline,2,2,0,11326.9453,11326.9453,2.762037600041367,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,4,survey,1,1,0,17624.422437,17624.422437,1.2371857999823987,not_yet_checked_against_official_observables
