model_candidate,problem,protocol,n_cases,complete_cases,hull_invariant_violations,total_virtual_time_s_mean,failure_penalized_time_s_mean,program_real_time_s_mean,model_comparison_status
smoothed_joint__radius_max__noise_deterministic,3,baseline,60,60,0,5297.074415,5297.074415,3.0134755316617277,not_yet_checked_against_official_observables
smoothed_joint__radius_max__noise_deterministic,3,survey,20,20,0,13340.36394745,13340.36394745,1.3076597650011537,not_yet_checked_against_official_observables
smoothed_joint__radius_max__noise_deterministic,4,baseline,60,60,0,11599.532601199999,11599.532601199999,4.342325323340871,not_yet_checked_against_official_observables
smoothed_joint__radius_max__noise_deterministic,4,survey,20,20,0,17333.705119,17333.705119,1.5781900800066069,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,3,baseline,60,60,0,4913.41486975,4913.41486975,2.2427542799928535,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,3,survey,20,20,0,13521.128971350001,13521.128971350001,1.5958404100092594,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,4,baseline,60,60,0,11362.421859683333,11362.421859683333,3.9523967399960385,not_yet_checked_against_official_observables
smoothed_joint__radius_min__noise_deterministic,4,survey,20,20,0,17568.39807245,17568.39807245,2.091874539991841,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_correlated,3,baseline,60,60,0,5089.070670683333,5089.070670683333,3.036804618341072,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_correlated,3,survey,20,20,0,13587.38047205,13587.38047205,1.9410535049857571,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_correlated,4,baseline,60,60,0,11234.9746937,11234.9746937,4.438982078322442,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_correlated,4,survey,20,20,0,17388.08177085,17388.08177085,2.1395250600005964,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,3,baseline,60,60,0,5075.1538203166665,5075.1538203166665,2.6067102516652083,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,3,survey,20,20,0,13556.5686704,13556.5686704,1.5421905199997128,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,4,baseline,60,60,0,11330.006291033333,11330.006291033333,4.00873928333555,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_deterministic,4,survey,20,20,0,17362.4217924,17362.4217924,1.7642382799996994,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_extreme,3,baseline,60,60,0,4935.487324350001,4935.487324350001,2.6767516816558783,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_extreme,3,survey,20,20,0,13518.2108796,13518.2108796,1.5693662700243294,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_extreme,4,baseline,60,60,0,11307.09199145,11307.09199145,4.14199298666014,not_yet_checked_against_official_observables
smoothed_joint__radius_mixed__noise_extreme,4,survey,20,20,0,17334.7217087,17334.7217087,2.0735155250062234,not_yet_checked_against_official_observables
