case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage2-round-broad-p4-0000-060cf9d069e8ac8c,4,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,confirmation,nosignal,normal,True,True,-348.50080399999933,-288.5008047575484,0,0,-60,0,-1442.5040237877402,0,-20,-20,7.575490599265322e-07
stage2-round-broad-p4-0005-168b8a3f081a1a7b,4,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,confirmation,nosignal,normal,True,True,-1218.0204549999999,-783.0204541790499,0,0,-435,0,-3915.1022708952514,0,-145,-145,-8.20949935587123e-07
stage2-round-broad-p4-0006-556b3893e47a6591,4,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,confirmation,nosignal,normal,True,True,176.61366200000157,203.61366236696267,0,0,-27,0,1018.0683118348097,0,-9,-9,-3.6696110328193754e-07
stage2-round-broad-p4-0009-b3ab79d0ad78ed75,4,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,confirmation,nosignal,normal,True,True,-700.8193510000001,-598.8193515048324,0,0,-102,0,-2994.0967575241666,0,-34,-34,5.048323146183975e-07
stage2-round-broad-p4-0011-f3fa981dc5e8e10a,4,broad,broad_joint,assumption__radius_min__noise_extreme__scale_150,confirmation,nosignal,normal,True,True,-76.98461399999906,-10.984613274484218,0,0,-66,0,-54.92306637241563,0,-22,-22,-7.255148375406861e-07
stage2-round-broad-p4-0019-c9c4b5331ec8504c,4,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,confirmation,nosignal,normal,True,True,-1158.3280649999997,-861.3280686459766,0,0,-297,0,-4306.640343229883,0,-99,-99,3.645976903499104e-06
stage2-round-broad-p4-0023-5e99d6f9fb83d029,4,broad,broad_joint,assumption__radius_max__noise_extreme__scale_300,confirmation,nosignal,normal,True,True,576.5800139999992,471.5800128440169,0,0,105,0,2357.9000642200845,0,35,35,1.1559823178686202e-06
stage2-round-broad-p4-0028-d71b1e6ce36c45ba,4,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,confirmation,nosignal,normal,True,True,-184.82839200000126,-115.82839527202486,0,0,-69,0,-579.1419763601225,0,-23,-23,3.2720236049499363e-06
stage2-round-broad-p4-0033-3f7083f88ed4a11b,4,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,confirmation,nosignal,normal,True,True,-182.8648060000014,-143.86480436397687,0,0,-39,0,-719.3240218198771,0,-13,-13,-1.636024535400793e-06
stage2-round-broad-p4-0041-093e7de9967becd6,4,broad,broad_joint,assumption__radius_max__noise_extreme__scale_150,confirmation,nosignal,normal,True,True,430.64094300000033,475.6409465737661,0,0,-45,0,2378.2047328688277,0,-15,-15,-3.573765752662439e-06
stage2-round-broad-p4-0042-7ab2f963e34d7f01,4,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_150,confirmation,nosignal,normal,True,True,-443.3492920000008,-317.3492934505193,0,0,-126,0,-1586.7464672525966,0,-42,-42,1.4505185390589759e-06
stage2-round-broad-p4-0046-82bc100679324e7d,4,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,confirmation,nosignal,normal,True,True,62.27580200000011,14.275802189633396,0,0,48,0,71.37901094817062,0,16,16,-1.8963328329846263e-07
stage2-round-broad-p4-0053-13910d7834ab38e4,4,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_300,confirmation,nosignal,normal,True,True,-105.69711599999937,-36.697119752598155,0,0,-69,0,-183.4855987629926,0,-23,-23,3.752598786377348e-06
