problem,pool,composition_model,partition,variant,mechanism_id,n_pairs,baseline_failures,candidate_failures,interpretation,total_actual_time_delta_s_mean,movement_s_delta_mean,measurement_s_delta_mean,switch_s_delta_mean,optical_s_delta_mean,laser_s_delta_mean,walk_distance_m_delta_mean,measures_delta_mean,clear_attempts_delta_mean,failed_clear_attempts_delta_mean
4,broad,broad_joint,confirmation,nosignal,__design_mixture__,16,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-246.7917141874999,-154.54171479946586,0.0,0.0,-92.25,0.0,-772.7085739973295,0.0,-30.75,-30.75
4,broad,broad_joint,confirmation,nosignal,assumption__radius_max__noise_extreme__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",481.41693550000036,455.9169367244449,0.0,0.0,25.5,0.0,2279.5846836222227,0.0,8.5,8.5
4,broad,broad_joint,confirmation,nosignal,assumption__radius_max__noise_extreme__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",576.5800139999992,471.5800128440169,0.0,0.0,105.0,0.0,2357.9000642200845,0.0,35.0,35.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_max__noise_extreme__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-1218.0204549999999,-783.0204541790499,0.0,0.0,-435.0,0.0,-3915.1022708952514,0.0,-145.0,-145.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_min__noise_correlated__scale_300,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-548.0261314999998,-423.5261332281716,0.0,0.0,-124.5,0.0,-2117.630666140856,0.0,-41.5,-41.5
4,broad,broad_joint,confirmation,nosignal,assumption__radius_min__noise_correlated__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-184.82839200000126,-115.82839527202486,0.0,0.0,-69.0,0.0,-579.1419763601225,0.0,-23.0,-23.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_min__noise_deterministic__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-700.8193510000001,-598.8193515048324,0.0,0.0,-102.0,0.0,-2994.0967575241666,0.0,-34.0,-34.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_min__noise_deterministic__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-348.50080399999933,-288.5008047575484,0.0,0.0,-60.0,0.0,-1442.5040237877402,0.0,-20.0,-20.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_min__noise_extreme__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-76.98461399999906,-10.984613274484218,0.0,0.0,-66.0,0.0,-54.92306637241563,0.0,-22.0,-22.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_mixed__noise_correlated__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-1113.236508,-735.2365077222858,0.0,0.0,-378.0,0.0,-3676.182538611436,0.0,-126.0,-126.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_mixed__noise_deterministic__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-443.3492920000008,-317.3492934505193,0.0,0.0,-126.0,0.0,-1586.7464672525966,0.0,-42.0,-42.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_mixed__noise_deterministic__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-3.12557199999992,29.8744290014929,0.0,0.0,-33.0,0.0,149.37214500746632,0.0,-11.0,-11.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_mixed__noise_extreme__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-194.3413729999993,-182.34137471766007,0.0,0.0,-12.0,0.0,-911.7068735883004,0.0,-4.0,-4.0
4,broad,broad_joint,confirmation,nosignal,assumption__radius_mixed__noise_extreme__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-105.69711599999937,-36.697119752598155,0.0,0.0,-69.0,0.0,-183.4855987629926,0.0,-23.0,-23.0
4,calibrated,broad_joint,confirmation,nosignal,__design_mixture__,8,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-7.379967000000306,-5.879967884040752,0.0,0.0,-1.5,0.0,-29.399839420204444,0.0,-0.5,-0.5
4,calibrated,broad_joint,confirmation,nosignal,mixed_correlated150_after_observable_screen,6,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-17.23224250000021,-29.732242857051762,0.0,0.0,12.5,0.0,-148.66121428525852,0.0,4.166666666666667,4.166666666666667
4,calibrated,broad_joint,confirmation,nosignal,mixed_extreme150_after_observable_screen,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",22.17685949999941,65.67685703499228,0.0,0.0,-43.5,0.0,328.38428517495777,0.0,-14.5,-14.5
4,calibrated,smoothed_joint,confirmation,nosignal,__design_mixture__,8,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-131.19744949999995,-85.4474494312102,0.0,0.0,-45.75,0.0,-427.2372471560511,0.0,-15.25,-15.25
4,calibrated,smoothed_joint,confirmation,nosignal,mixed_correlated150_after_observable_screen,5,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-183.98096579999984,-122.18096623358251,0.0,0.0,-61.8,0.0,-610.9048311679129,0.0,-20.6,-20.6
4,calibrated,smoothed_joint,confirmation,nosignal,mixed_extreme150_after_observable_screen,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-43.224922333333474,-24.22492142725635,0.0,0.0,-19.0,0.0,-121.12460713628145,0.0,-6.333333333333333,-6.333333333333333
4,stress,stress_design,confirmation,nosignal,__design_mixture__,8,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-620.3462500000003,-449.34625061976783,0.0,0.0,-171.0,0.0,-2246.7312530988384,0.0,-57.0,-57.0
4,stress,stress_design,confirmation,nosignal,assumption__radius_max__noise_correlated__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-219.71713400000044,-234.7171333618062,0.0,0.0,15.0,0.0,-1173.5856668090273,0.0,5.0,5.0
4,stress,stress_design,confirmation,nosignal,assumption__radius_max__noise_deterministic__scale_150,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-192.3542350000007,-147.35423707178597,0.0,0.0,-45.0,0.0,-736.771185358928,0.0,-15.0,-15.0
4,stress,stress_design,confirmation,nosignal,assumption__radius_min__noise_deterministic__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-182.72495999999956,-154.22496053897748,0.0,0.0,-28.5,0.0,-771.1248026948888,0.0,-9.5,-9.5
4,stress,stress_design,confirmation,nosignal,assumption__radius_min__noise_deterministic__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",188.786012999999,140.78601118950792,0.0,0.0,48.0,0.0,703.9300559475378,0.0,16.0,16.0
4,stress,stress_design,confirmation,nosignal,assumption__radius_min__noise_extreme__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-1100.3538050000006,-773.3538052306603,0.0,0.0,-327.0,0.0,-3866.769026153299,0.0,-109.0,-109.0
4,stress,stress_design,confirmation,nosignal,assumption__radius_mixed__noise_extreme__scale_75,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",-2173.3271139999997,-1498.3271141747828,0.0,0.0,-675.0,0.0,-7491.635570873914,0.0,-225.0,-225.0
