case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
stage2-round-broad-p4-0000-060cf9d069e8ac8c,4,broad,broad_joint,confirmation,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,normal,True,0,-348.50080399999933,-348.50080399999933,3.173301706349278,10982.277648,10633.776844
stage2-round-broad-p4-0005-168b8a3f081a1a7b,4,broad,broad_joint,confirmation,extreme,nosignal,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,normal,True,0,-1218.0204549999999,-1218.0204549999999,9.836003042502119,12383.286684,11165.266229
stage2-round-broad-p4-0006-556b3893e47a6591,4,broad,broad_joint,confirmation,deterministic,nosignal,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,normal,True,0,176.61366200000157,176.61366200000157,-1.6312486104171726,10826.90038,11003.514042
stage2-round-broad-p4-0009-b3ab79d0ad78ed75,4,broad,broad_joint,confirmation,deterministic,nosignal,assumption__radius_min__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,normal,True,0,-700.8193510000001,-700.8193510000001,6.581176801595672,10648.84552,9948.026169
stage2-round-broad-p4-0011-f3fa981dc5e8e10a,4,broad,broad_joint,confirmation,extreme,nosignal,assumption__radius_min__noise_extreme__scale_150,broad_or_stress_assumption,True,True,normal,True,0,-76.98461399999906,-76.98461399999906,0.7186258815896333,10712.752765,10635.768151
stage2-round-broad-p4-0019-c9c4b5331ec8504c,4,broad,broad_joint,confirmation,correlated,nosignal,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,normal,True,0,-1158.3280649999997,-1158.3280649999997,10.397441638575986,11140.51038,9982.182315
stage2-round-broad-p4-0023-5e99d6f9fb83d029,4,broad,broad_joint,confirmation,extreme,nosignal,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,True,True,normal,True,0,576.5800139999992,576.5800139999992,-5.869149888281986,9823.910191,10400.490205
stage2-round-broad-p4-0028-d71b1e6ce36c45ba,4,broad,broad_joint,confirmation,correlated,nosignal,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,normal,True,0,-184.82839200000126,-184.82839200000126,1.667211111340454,11086.082065,10901.253673
stage2-round-broad-p4-0033-3f7083f88ed4a11b,4,broad,broad_joint,confirmation,deterministic,nosignal,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,normal,True,0,-182.8648060000014,-182.8648060000014,1.4973536273370935,12212.533009,12029.668203
stage2-round-broad-p4-0041-093e7de9967becd6,4,broad,broad_joint,confirmation,extreme,nosignal,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,True,True,normal,True,0,430.64094300000033,430.64094300000033,-4.528829113317759,9508.88038,9939.521323
stage2-round-broad-p4-0042-7ab2f963e34d7f01,4,broad,broad_joint,confirmation,deterministic,nosignal,assumption__radius_mixed__noise_deterministic__scale_150,broad_or_stress_assumption,True,True,normal,True,0,-443.3492920000008,-443.3492920000008,3.850778368737456,11513.238352,11069.88906
stage2-round-broad-p4-0046-82bc100679324e7d,4,broad,broad_joint,confirmation,correlated,nosignal,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,True,True,normal,True,0,62.27580200000011,62.27580200000011,-0.565890087891201,11004.928931,11067.204733
