pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,nosignal,normal,16,0,0,0.0,-246.7917141874999,-531.4691739937498,13.98208121562525,16,-246.7917141874999,-183.84659900000133,0.3125,576.5800139999992,1.9742574988324801,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-506.9496559703122,19.158465514062588
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,nosignal,normal,4,0,0,0.0,-598.5292907500002,-1135.7822864999998,-61.27629500000057,4,-598.5292907500002,-649.0324500000006,0.25,62.27580200000011,5.214983931953316,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1135.7822864999998,0.4997534999997697
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,nosignal,normal,5,0,0,0.0,-299.7841182,-545.7344302000005,-39.07341880000022,5,-299.7841182,-348.50080399999933,0.2,176.61366200000157,2.6942723787204654,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-527.3676180000002,-33.43212439999879
broad,4,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,nosignal,normal,7,0,0,0.0,-7.947096142856806,-491.3354859607138,366.8317897785708,7,-7.947096142856806,-76.98461399999906,0.42857142857142855,576.5800139999992,-0.3918825200137014,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-480.8931516571425,393.53485208571425
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,all,nosignal,normal,16,0,0,0.0,-246.7917141874999,-523.8592460421874,10.159480154687428,16,-246.7917141874999,-183.84659900000133,0.3125,576.5800139999992,1.9742574988324801,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-526.9517788546875,17.54505296718734
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,correlated,nosignal,normal,4,0,0,0.0,-598.5292907500002,-1135.7822864999998,-61.27629500000057,4,-598.5292907500002,-649.0324500000006,0.25,62.27580200000011,5.214983931953316,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1135.7822864999998,-61.27629500000057
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,deterministic,nosignal,normal,5,0,0,0.0,-299.7841182,-545.7344302000005,-19.274622399999497,5,-299.7841182,-348.50080399999933,0.2,176.61366200000157,2.6942723787204654,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-545.7344302000005,-52.401821999999086
broad,4,broad_joint,confirmation,__design_mixture__,design_mixture_only_not_official_population,extreme,nosignal,normal,7,0,0,0.0,-7.947096142856806,-469.86448796071414,352.2154778392858,7,-7.947096142856806,-76.98461399999906,0.42857142857142855,576.5800139999992,-0.3918825200137014,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-493.500636285714,356.31679985714305
broad,4,broad_joint,all,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,all,nosignal,normal,2,0,0,0.0,481.41693550000036,430.64094300000033,532.1929280000004,2,481.41693550000036,481.41693550000036,1.0,532.1929280000004,-4.955552069795257,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,430.64094300000033,532.1929280000004
broad,4,broad_joint,all,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,extreme,nosignal,normal,2,0,0,0.0,481.41693550000036,430.64094300000033,532.1929280000004,2,481.41693550000036,481.41693550000036,1.0,532.1929280000004,-4.955552069795257,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,430.64094300000033,532.1929280000004
broad,4,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,all,nosignal,normal,2,0,0,0.0,481.41693550000036,430.64094300000033,532.1929280000004,2,481.41693550000036,481.41693550000036,1.0,532.1929280000004,-4.955552069795257,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,430.64094300000033,532.1929280000004
broad,4,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_150,broad_or_stress_assumption,extreme,nosignal,normal,2,0,0,0.0,481.41693550000036,430.64094300000033,532.1929280000004,2,481.41693550000036,481.41693550000036,1.0,532.1929280000004,-4.955552069795257,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,430.64094300000033,532.1929280000004
broad,4,broad_joint,all,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,all,nosignal,normal,1,0,0,0.0,576.5800139999992,,,1,576.5800139999992,576.5800139999992,1.0,576.5800139999992,-5.869149888281986,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,extreme,nosignal,normal,1,0,0,0.0,576.5800139999992,,,1,576.5800139999992,576.5800139999992,1.0,576.5800139999992,-5.869149888281986,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,all,nosignal,normal,1,0,0,0.0,576.5800139999992,,,1,576.5800139999992,576.5800139999992,1.0,576.5800139999992,-5.869149888281986,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_300,broad_or_stress_assumption,extreme,nosignal,normal,1,0,0,0.0,576.5800139999992,,,1,576.5800139999992,576.5800139999992,1.0,576.5800139999992,-5.869149888281986,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,all,nosignal,normal,1,0,0,0.0,-1218.0204549999999,,,1,-1218.0204549999999,-1218.0204549999999,0.0,-1218.0204549999999,9.836003042502119,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,extreme,nosignal,normal,1,0,0,0.0,-1218.0204549999999,,,1,-1218.0204549999999,-1218.0204549999999,0.0,-1218.0204549999999,9.836003042502119,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,all,nosignal,normal,1,0,0,0.0,-1218.0204549999999,,,1,-1218.0204549999999,-1218.0204549999999,0.0,-1218.0204549999999,9.836003042502119,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,confirmation,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,extreme,nosignal,normal,1,0,0,0.0,-1218.0204549999999,,,1,-1218.0204549999999,-1218.0204549999999,0.0,-1218.0204549999999,9.836003042502119,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,all,nosignal,normal,2,0,0,0.0,-548.0261314999998,-1158.3280649999997,62.27580200000011,2,-548.0261314999998,-548.0261314999998,0.5,62.27580200000011,4.915775775342392,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1158.3280649999997,62.27580200000011
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,correlated,nosignal,normal,2,0,0,0.0,-548.0261314999998,-1158.3280649999997,62.27580200000011,2,-548.0261314999998,-548.0261314999998,0.5,62.27580200000011,4.915775775342392,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1158.3280649999997,62.27580200000011
broad,4,broad_joint,confirmation,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,all,nosignal,normal,2,0,0,0.0,-548.0261314999998,-1158.3280649999997,62.27580200000011,2,-548.0261314999998,-548.0261314999998,0.5,62.27580200000011,4.915775775342392,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1158.3280649999997,62.27580200000011
broad,4,broad_joint,confirmation,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,correlated,nosignal,normal,2,0,0,0.0,-548.0261314999998,-1158.3280649999997,62.27580200000011,2,-548.0261314999998,-548.0261314999998,0.5,62.27580200000011,4.915775775342392,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,-1158.3280649999997,62.27580200000011
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,all,nosignal,normal,1,0,0,0.0,-184.82839200000126,,,1,-184.82839200000126,-184.82839200000126,0.0,-184.82839200000126,1.667211111340454,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
broad,4,broad_joint,all,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,correlated,nosignal,normal,1,0,0,0.0,-184.82839200000126,,,1,-184.82839200000126,-184.82839200000126,0.0,-184.82839200000126,1.667211111340454,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,,
