status,error,problem,config,walk_distance_m,switches,measures,clear_attempts,clear_successes,fallback_targets,certified_clears,initial_hull_invariant,total_virtual_time_s,independently_accounted_time_s,timing_residual_s,average_clear_time_s,program_real_time_s,source_total,clear_fraction,case_id,pool,composition_model,mechanism_id,mechanism_status,partition,layout,radius_mode,error_mode,n,n_directed,scenario_sha256,stage,manifest_sha256,variant,arm_sha256,solver_class,nosignal_config,evaluation_complete,environment,hull_invariant_violations,error_field_sha256,policy_core_sha256,dependency_sha256,failure_penalized_time_s,nosignal_choices,nosignal_changed_choices,nosignal_baseline_fallbacks,nosignal_convex_mixed_choices,sensing_variant
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",20720.029316711425,71,72,37,15,9,6,True,4716.005863,4716.005863342285,-3.4228469303343445e-07,314.40039086666667,1.3964719000505283,15,1.0,stage2-round-broad-p3-0003-9b473e4173777437,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,confirmation,random,max,deterministic,15,0,8cfdc099391355dd5b1185501e3fcc8f3100001d3657d5611e8f7e7c852f27d9,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],5a62a47084f0b5e9a7e611275787305dbc3f4ce55f24a88cb8332db5058365de,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4716.005863,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18282.468168258256,105,108,23,10,7,3,True,4390.493633,4390.493633651651,-6.516511348308995e-07,439.0493633,0.8858647999586537,10,1.0,stage2-round-broad-p3-0008-ff0b571c6571256c,broad,broad_joint,assumption__radius_mixed__noise_extreme__scale_75,broad_or_stress_assumption,confirmation,random,mixed,extreme,10,0,e96f33907e2ab65a050154a038b514bbad5f12796e585041de5a8e44dd011e0c,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],3a7cd0a6c4fe18be675e8372dcddd7d10f13199b5a453e9dd6db9b56a7e487cf,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4390.493633,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19227.74207244074,108,110,26,12,6,6,True,4605.548409,4605.5484144881475,-5.488147508003749e-06,383.79570075,1.0906596999848261,12,1.0,stage2-round-broad-p3-0019-b28ee2e0a2bfeda3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_300,broad_or_stress_assumption,confirmation,random,min,correlated,12,0,2d5d7c31b6b99860c5cea41543880a9c8ccc08a0451ddf5615a21d0e9743475d,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],4d0e3b90051658bfda7b8ffc2d9d57ba1d0ebf899fade67a58628fbaacbd4038,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4605.548409,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",20873.852056326556,101,103,34,14,10,4,True,4920.770412,4920.770411265311,7.346889105974697e-07,351.48360085714285,1.3808026999467984,14,1.0,stage2-round-broad-p3-0020-0372ae2d760e3bc7,broad,broad_joint,assumption__radius_min__noise_extreme__scale_300,broad_or_stress_assumption,confirmation,random,min,extreme,14,0,c0f8649d9e21e04d2bd2d02b74bccf75c74b6310988d69ef5892ec09fdcde67a,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],452de50576dced9be218c399c945c0685e09cbc107ff5901c9860d71f3443f6e,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4920.770412,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",15385.440327271977,97,99,30,10,7,3,True,3779.088064,3779.0880654543953,-1.454395260225283e-06,377.9088064,0.9863136999774724,10,1.0,stage2-round-broad-p3-0022-d237873404bfcdf6,broad,broad_joint,assumption__radius_max__noise_correlated__scale_300,broad_or_stress_assumption,confirmation,random,max,correlated,10,0,d5219260de8566a00162fa87501c08f62f779713a6e8009051d72f3da29cfa19,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],ee40a6a66b0b48d09bf84cfee6eb319bec50a16bd70e54f07c2eb4d6290e4a5a,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",3779.088064,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",17959.761912609032,96,98,21,14,4,10,True,4268.95238,4268.952382521807,-2.5218068913090974e-06,304.92517,1.4083738999906927,14,1.0,stage2-round-broad-p3-0027-bdf02b832bf7c53a,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,confirmation,random,min,deterministic,14,0,5bcd9e176e5923f34dcc0d2010caada1b9c17f1b2042a15717f2d64e0dc1c025,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],b43c5d39c5b286fe134f75145e05ed9262908df0e5271d559b32001e210f7d03,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4268.95238,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",20514.39942542742,69,70,52,16,12,4,True,4709.879884,4709.879885085484,-1.0854837455553934e-06,294.36749275,1.5869038000237197,16,1.0,stage2-round-broad-p3-0030-282c287ccc13e140,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,confirmation,random,max,deterministic,16,0,80729150a0f1be4f01e394e595b3e7e59b352a97026e2c3156c081fbdb13ea03,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],ceedc5d5ba4ac243edfa5dda9cc32a868b9971511ad52d187649dbec92f783d6,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4709.879884,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18157.44883134569,97,100,39,12,7,5,True,4369.489765,4369.489766269138,-1.2691380106844008e-06,364.12414708333336,1.212220299988985,12,1.0,stage2-round-broad-p3-0033-c646d5b77e8885f6,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,confirmation,random,mixed,deterministic,12,0,e28769318ead3348a564b2da548c99f038657acc07dda4860ceb09bc880ce968,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],f72003f7792ef40fcb9167e54fce102d494a4e9299f2149430d31cf23a91d42b,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4369.489765,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",21101.602212625072,88,90,33,16,8,8,True,4889.320439,4889.320442525014,-3.5250141081633046e-06,305.5825274375,1.4335458000423387,16,1.0,stage2-round-broad-p3-0037-1d6defd165bfebe7,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,broad_or_stress_assumption,confirmation,random,min,correlated,16,0,c3eb5b41a264a7eb5937b316fa5f94af3688b4730aa66797504e2f305033bcba,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],0593cb5ccee4107100706efa73cb133bc3e554d91c627711f37c3e8fa85da820,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4889.320439,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",16825.49914443105,103,105,19,10,5,5,True,4070.099827,4070.09982888621,-1.8862101569538936e-06,407.0099827,0.9609062999952585,10,1.0,stage2-round-broad-p3-0043-b72786911a8cac18,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_150,broad_or_stress_assumption,confirmation,random,mixed,correlated,10,0,73e5dcacbf3ad797a2761ae13a5bbe7f6bb73c90239a75151a4a1929352671db,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],bf6e697d6933fe18461982423b62e74d10e44861144af8ccb46f7481976d2328,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4070.099827,,,,,
