pool,problem,composition_model,partition,mechanism_id,mechanism_status,noise_model,variant,baseline_variant,n_pairs,baseline_failures,candidate_failures,completion_delta_mean,penalized_time_delta_mean_s,penalized_delta_ci_low_s,penalized_delta_ci_high_s,both_complete_n,completed_time_delta_mean_s,completed_time_delta_median_s,completed_regression_rate,completed_worst_regression_s,mean_completed_reduction_pct,ci_scope,precision_warning,completed_delta_ci_low_s,completed_delta_ci_high_s
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,all,nosignal,normal,64,0,0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,correlated,nosignal,normal,21,0,0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,deterministic,nosignal,normal,21,0,0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,all,__design_mixture__,design_mixture_only_not_official_population,extreme,nosignal,normal,22,0,0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,all,nosignal,normal,64,0,0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,correlated,nosignal,normal,21,0,0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,deterministic,nosignal,normal,21,0,0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,development,__design_mixture__,design_mixture_only_not_official_population,extreme,nosignal,normal,22,0,0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,,0.0,0.0
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,nosignal,normal,3,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,0.0,0.0
broad,3,broad_joint,all,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,correlated,nosignal,normal,3,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,0.0,0.0
broad,3,broad_joint,development,assumption__radius_max__noise_correlated__scale_150,broad_or_stress_assumption,all,nosignal,normal,3,0,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,pointwise paired bootstrap; exploratory and not multiplicity-adjusted,very small stratum,0.0,0.0
