status,error,problem,config,walk_distance_m,switches,measures,clear_attempts,clear_successes,fallback_targets,certified_clears,initial_hull_invariant,total_virtual_time_s,independently_accounted_time_s,timing_residual_s,average_clear_time_s,program_real_time_s,source_total,clear_fraction,case_id,pool,composition_model,mechanism_id,mechanism_status,partition,layout,radius_mode,error_mode,n,n_directed,scenario_sha256,stage,manifest_sha256,variant,arm_sha256,solver_class,nosignal_config,evaluation_complete,environment,hull_invariant_violations,error_field_sha256,policy_core_sha256,dependency_sha256,failure_penalized_time_s,nosignal_choices,nosignal_changed_choices,nosignal_baseline_fallbacks,nosignal_convex_mixed_choices,sensing_variant
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18570.427840448163,110,113,23,13,4,9,True,4484.085567,4484.085568089633,-1.0896328603848815e-06,344.929659,1.237807499943301,13,1.0,stage2-round-broad-p3-0000-cca0188d2ad95797,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,development,random,min,deterministic,13,0,f7f6e8d533a5863ba72bd84e2a23dd993a05c90ac47f8523dc1aea143ca99c9f,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],ff19474976b7eaf9aa6e937ac18244d48f3fbd3f3a88205fb7af71f508d6926e,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4484.085567,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18570.427840448163,110,113,23,13,4,9,True,4484.085567,4484.085568089633,-1.0896328603848815e-06,344.929659,1.3112553000682965,13,1.0,stage2-round-broad-p3-0000-cca0188d2ad95797,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,development,random,min,deterministic,13,0,f7f6e8d533a5863ba72bd84e2a23dd993a05c90ac47f8523dc1aea143ca99c9f,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,nosignal,94e99b313afae12371bb5bece5cf1613feb7bc98084e4c51c49e163ea71eadf8,nosignal,"{""directional_prior"":0.5,""interior_fraction"":0.75,""orientation_sample_count"":24,""position_sample_count"":7,""radius_samples"":[1000.0,1250.0,1500.0]}",True,self_built_fixed_scenario,[],ff19474976b7eaf9aa6e937ac18244d48f3fbd3f3a88205fb7af71f508d6926e,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4484.085567,13,0,0,0,sampled_nosignal_v1
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",16795.870053739356,121,124,15,10,3,7,True,4165.174009,4165.174010747871,-1.7478705558460206e-06,416.51740090000004,0.9387833999935538,10,1.0,stage2-round-broad-p3-0001-4f461e441885976f,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,development,random,min,correlated,10,0,adbc58ffd8abc38e8290ac3d970135c856053f3ad4ed8e25030c9d5ac7e031a7,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],ff61a6a18236c34f933e695e1cd7081458770a0d7b28ea14ac9b8dfa40bc206a,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4165.174009,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",16795.870053739356,121,124,15,10,3,7,True,4165.174009,4165.174010747871,-1.7478705558460206e-06,416.51740090000004,1.0541869000298902,10,1.0,stage2-round-broad-p3-0001-4f461e441885976f,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,development,random,min,correlated,10,0,adbc58ffd8abc38e8290ac3d970135c856053f3ad4ed8e25030c9d5ac7e031a7,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,nosignal,94e99b313afae12371bb5bece5cf1613feb7bc98084e4c51c49e163ea71eadf8,nosignal,"{""directional_prior"":0.5,""interior_fraction"":0.75,""orientation_sample_count"":24,""position_sample_count"":7,""radius_samples"":[1000.0,1250.0,1500.0]}",True,self_built_fixed_scenario,[],ff61a6a18236c34f933e695e1cd7081458770a0d7b28ea14ac9b8dfa40bc206a,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4165.174009,10,0,0,0,sampled_nosignal_v1
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",21777.260202402424,107,111,31,16,7,9,True,5142.452039,5142.452040480484,-1.4804845704929903e-06,321.4032524375,1.5315102000022307,16,1.0,stage2-round-broad-p3-0002-94941a19b1e01560,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,development,random,min,extreme,16,0,16ca165f964117bea6f0962448bd085c9a14bc0e94381566d3a2c88eefa5b484,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],f39ad9fde4f4a64ff94018e8e6445c1bb04cdbe7de5aff513c305ba657388703,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",5142.452039,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",21777.260202402424,107,111,31,16,7,9,True,5142.452039,5142.452040480484,-1.4804845704929903e-06,321.4032524375,1.6582356001017615,16,1.0,stage2-round-broad-p3-0002-94941a19b1e01560,broad,broad_joint,assumption__radius_min__noise_extreme__scale_75,broad_or_stress_assumption,development,random,min,extreme,16,0,16ca165f964117bea6f0962448bd085c9a14bc0e94381566d3a2c88eefa5b484,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,nosignal,94e99b313afae12371bb5bece5cf1613feb7bc98084e4c51c49e163ea71eadf8,nosignal,"{""directional_prior"":0.5,""interior_fraction"":0.75,""orientation_sample_count"":24,""position_sample_count"":7,""radius_samples"":[1000.0,1250.0,1500.0]}",True,self_built_fixed_scenario,[],f39ad9fde4f4a64ff94018e8e6445c1bb04cdbe7de5aff513c305ba657388703,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",5142.452039,16,0,0,0,sampled_nosignal_v1
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19974.21550813317,99,100,52,11,9,2,True,4771.843099,4771.843101626634,-2.6266343411407433e-06,433.80391809090906,1.113318799994886,11,1.0,stage2-round-broad-p3-0004-a7b68b166412d471,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,development,random,max,correlated,11,0,17839a9e082a4b9fedd31f2a04ebaa0a3f74227599e0b66b9a7e82ae3ca39576,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],569ea0cd0a26c931fbc2ad485d7ed5be093f99ece91e2b5c5dc2e33efdb38589,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4771.843099,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",19974.21550813317,99,100,52,11,9,2,True,4771.843099,4771.843101626634,-2.6266343411407433e-06,433.80391809090906,1.144072400056757,11,1.0,stage2-round-broad-p3-0004-a7b68b166412d471,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,development,random,max,correlated,11,0,17839a9e082a4b9fedd31f2a04ebaa0a3f74227599e0b66b9a7e82ae3ca39576,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,nosignal,94e99b313afae12371bb5bece5cf1613feb7bc98084e4c51c49e163ea71eadf8,nosignal,"{""directional_prior"":0.5,""interior_fraction"":0.75,""orientation_sample_count"":24,""position_sample_count"":7,""radius_samples"":[1000.0,1250.0,1500.0]}",True,self_built_fixed_scenario,[],569ea0cd0a26c931fbc2ad485d7ed5be093f99ece91e2b5c5dc2e33efdb38589,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4771.843099,11,0,0,0,sampled_nosignal_v1
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18952.900297938046,91,92,28,12,8,4,True,4449.580057,4449.580059587609,-2.5876088329823688e-06,370.79833808333336,1.1358484000666067,12,1.0,stage2-round-broad-p3-0005-1696cc2130ebff7b,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,development,random,max,extreme,12,0,a90dac99fe0e703f9a015e6eda8b7e3343773ee3751ccf659e6cd0cd7c9bdd33,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,normal,598a470e18f0cc7605daa46bb28b1a1250fbc8f78834c102c2dac6a9efb90dc4,normal,,True,self_built_fixed_scenario,[],8dfad0ae4af92b04693fdc7047b1f088c39086009db97c814f112492ceb5a53f,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4449.580057,,,,,
complete,,3,"{""bin_width_deg"":4.0,""clear_radius"":19.999,""coverage"":""triangular"",""epsilon_deg"":1.0051,""joint_detour_m"":800.0,""local_measure_limit"":1,""max_virtual_s"":360000.0,""nearest_safe"":true,""opportunistic_known_measurements"":false,""problem"":3,""radius_weight"":2.0,""reserve_real_s"":5.0,""scheduling"":""joint"",""sensing"":""active"",""spacing"":null}",18952.900297938046,91,92,28,12,8,4,True,4449.580057,4449.580059587609,-2.5876088329823688e-06,370.79833808333336,1.1991329001029953,12,1.0,stage2-round-broad-p3-0005-1696cc2130ebff7b,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,development,random,max,extreme,12,0,a90dac99fe0e703f9a015e6eda8b7e3343773ee3751ccf659e6cd0cd7c9bdd33,2,f9ffbe734bc37653bebadf06778320395c80106f25e85d538286de044da3fc27,nosignal,94e99b313afae12371bb5bece5cf1613feb7bc98084e4c51c49e163ea71eadf8,nosignal,"{""directional_prior"":0.5,""interior_fraction"":0.75,""orientation_sample_count"":24,""position_sample_count"":7,""radius_samples"":[1000.0,1250.0,1500.0]}",True,self_built_fixed_scenario,[],8dfad0ae4af92b04693fdc7047b1f088c39086009db97c814f112492ceb5a53f,1b673484453104a5d87d4605d30b20826a3b7ec64769fd6ce8d3c8f7a1ad24f6,"{""scripts/run_candidate_stages.py"":""c2e66de2b6e26dfd94409d1597cd4af87a371372b9a722dc25f90691b1c3cd1b"",""src/bsolver/nosignal_sensing.py"":""2073393686e1538ad046965cbc3b4cf1f16b6882a157b6efa5c7855ff50be6c0"",""src/bsolver/round_experiments.py"":""6836dedaa30c8a24e910cede983b3e811c97e52dbd994f4e1dbd4f3a576c8c7a""}",4449.580057,12,0,0,0,sampled_nosignal_v1
