case_id,problem,partition,pool,composition_model,mechanism_id,measurement_reason,delta_measures,delta_direction,delta_near,delta_no_signal,delta_whole_case_clear_attempts,delta_whole_case_fallback_targets,both_phase_nonempty,delta_direction_rate,delta_near_rate,delta_no_signal_rate
stage2-round-calibrated-p3-0000-37c396d2145fce70,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0000-37c396d2145fce70,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0001-768212f038d900b0,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0001-768212f038d900b0,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0002-9d13fe7591e454aa,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0002-9d13fe7591e454aa,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0003-3c8fd83128eb16bf,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0003-3c8fd83128eb16bf,3,development,calibrated,broad_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0004-9bb3824c0d70cee7,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0004-9bb3824c0d70cee7,3,development,calibrated,smoothed_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0005-de04657bb486fba0,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0005-de04657bb486fba0,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0006-dcbe26af80f0c3c8,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0006-dcbe26af80f0c3c8,3,development,calibrated,smoothed_joint,mixed_extreme150_after_observable_screen,global_coverage,0,0,0,0,0,0,True,0.0,0.0,0.0
stage2-round-calibrated-p3-0009-7e841c1c970531c6,3,development,calibrated,broad_joint,mixed_correlated150_after_observable_screen,local_active_sensing,0,0,0,0,0,0,True,0.0,0.0,0.0
