partition,problem,pool,composition_model,measurement_reason,mechanism_id,pairs,both_phase_nonempty_pairs,mean_delta_measures,mean_delta_direction,mean_delta_near,mean_delta_no_signal,mean_delta_whole_case_clear_attempts,mean_delta_whole_case_fallback_targets,mean_delta_direction_rate,mean_delta_near_rate,mean_delta_no_signal_rate
confirmation,4,broad,broad_joint,global_coverage,__design_mixture__,16,16,0.0,0.0,0.0,0.0,-30.75,0.8125,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_max__noise_extreme__scale_150,2,2,0.0,0.0,0.0,0.0,8.5,1.5,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_max__noise_extreme__scale_300,1,1,0.0,0.0,0.0,0.0,35.0,-1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_max__noise_extreme__scale_75,1,1,0.0,0.0,0.0,0.0,-145.0,0.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_min__noise_correlated__scale_300,2,2,0.0,0.0,0.0,0.0,-41.5,1.5,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_min__noise_correlated__scale_75,1,1,0.0,0.0,0.0,0.0,-23.0,2.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_min__noise_deterministic__scale_150,1,1,0.0,0.0,0.0,0.0,-34.0,3.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_min__noise_deterministic__scale_75,1,1,0.0,0.0,0.0,0.0,-20.0,-1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_min__noise_extreme__scale_150,1,1,0.0,0.0,0.0,0.0,-22.0,1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_correlated__scale_150,1,1,0.0,0.0,0.0,0.0,-126.0,1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_deterministic__scale_150,1,1,0.0,0.0,0.0,0.0,-42.0,2.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_deterministic__scale_75,2,2,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_extreme__scale_150,1,1,0.0,0.0,0.0,0.0,-4.0,-1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,global_coverage,assumption__radius_mixed__noise_extreme__scale_300,1,1,0.0,0.0,0.0,0.0,-23.0,1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,local_active_sensing,__design_mixture__,16,16,0.0,1.125,0.0,-1.125,-30.75,0.8125,0.08832547660672661,0.0,-0.08832547660672661
confirmation,4,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_extreme__scale_150,2,2,0.0,0.5,0.0,-0.5,8.5,1.5,0.03125,0.0,-0.03125
confirmation,4,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_extreme__scale_300,1,1,0.0,0.0,0.0,0.0,35.0,-1.0,0.0,0.0,0.0
confirmation,4,broad,broad_joint,local_active_sensing,assumption__radius_max__noise_extreme__scale_75,1,1,0.0,3.0,0.0,-3.0,-145.0,0.0,0.30000000000000004,0.0,-0.30000000000000004
confirmation,4,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_correlated__scale_300,2,2,0.0,1.0,0.0,-1.0,-41.5,1.5,0.08333333333333331,0.0,-0.08333333333333333
confirmation,4,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_correlated__scale_75,1,1,0.0,1.0,0.0,-1.0,-23.0,2.0,0.06666666666666676,0.0,-0.06666666666666665
confirmation,4,broad,broad_joint,local_active_sensing,assumption__radius_min__noise_deterministic__scale_150,1,1,0.0,2.0,0.0,-2.0,-34.0,3.0,0.1428571428571429,0.0,-0.14285714285714285
