case_id,problem,pool,composition_model,mechanism_id,partition,variant,baseline_variant,baseline_complete,candidate_complete,total_actual_time_delta_s,movement_s_delta,measurement_s_delta,switch_s_delta,optical_s_delta,laser_s_delta,walk_distance_m_delta,measures_delta,clear_attempts_delta,failed_clear_attempts_delta,component_residual_s
stage3-round-broad-p3-0000-11dcbaa9d490a655,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,immediate,joint,True,True,664.0424940000003,666.0424967714303,0,-11,9,0,3330.212483857151,0,3,3,-2.7714299903891515e-06
stage3-round-broad-p3-0000-11dcbaa9d490a655,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_75,development,scan_then_clear,joint,True,True,382.79682800000046,385.79682849661094,0,0,-3,0,1928.9841424830556,0,-1,-1,-4.966104825143702e-07
stage3-round-broad-p3-0001-d0275d1ecb2d2ce7,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,immediate,joint,True,True,630.1465549999994,635.1465639994458,0,-17,12,0,3175.732819997229,0,4,4,-8.999446436064318e-06
stage3-round-broad-p3-0001-d0275d1ecb2d2ce7,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,496.7843249999996,479.784327419261,0,-4,21,0,2398.9216370963077,0,7,7,-2.4192613636841998e-06
stage3-round-broad-p3-0003-e836d912777fee7d,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,development,immediate,joint,True,True,2390.5522209999995,2342.552227583038,0,-18,66,0,11712.76113791519,0,22,22,-6.583038612006931e-06
stage3-round-broad-p3-0003-e836d912777fee7d,3,broad,broad_joint,assumption__radius_max__noise_deterministic__scale_75,development,scan_then_clear,joint,True,True,653.2967100000001,647.2967133735033,0,-6,12,0,3236.483566867515,0,4,4,-3.373503204784356e-06
stage3-round-broad-p3-0004-105a97f10a0ca770,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,immediate,joint,True,True,2861.6576560000003,2819.6576555226993,0,-21,63,0,14098.288277613497,0,21,21,4.773010005010292e-07
stage3-round-broad-p3-0004-105a97f10a0ca770,3,broad,broad_joint,assumption__radius_max__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,860.2715109999999,884.2715115387336,0,-6,-18,0,4421.357557693667,0,-6,-6,-5.387337296269834e-07
stage3-round-broad-p3-0005-54f380fda6621168,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,immediate,joint,True,True,783.1701720000001,768.1701787004117,0,-12,27,0,3840.850893502058,0,9,9,-6.700411631754832e-06
stage3-round-broad-p3-0005-54f380fda6621168,3,broad,broad_joint,assumption__radius_max__noise_extreme__scale_75,development,scan_then_clear,joint,True,True,186.33407499999976,227.33407332648267,0,-2,-39,0,1136.6703666324138,0,-13,-13,1.6735170902393293e-06
stage3-round-broad-p3-0006-b1cebb9515c3d05a,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,immediate,joint,True,True,2198.1781710000005,2207.1781749989323,-10,-20,21,0,11035.89087499466,-2,7,7,-3.9989317883737385e-06
stage3-round-broad-p3-0006-b1cebb9515c3d05a,3,broad,broad_joint,assumption__radius_mixed__noise_deterministic__scale_75,development,scan_then_clear,joint,True,True,719.09022,724.0902189997314,0,-2,-3,0,3620.451094998658,0,-1,-1,1.0002686394727789e-06
stage3-round-broad-p3-0007-c3f6910dc5d88f83,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,immediate,joint,True,True,2524.305004,2438.3050069295377,0,-13,99,0,12191.52503464769,0,33,33,-2.92953791358741e-06
stage3-round-broad-p3-0007-c3f6910dc5d88f83,3,broad,broad_joint,assumption__radius_mixed__noise_correlated__scale_75,development,scan_then_clear,joint,True,True,334.0359470000003,309.0359454820941,0,-2,27,0,1545.179727410472,0,9,9,1.5179061847447883e-06
stage3-round-broad-p3-0009-9c91f9b13de2f920,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,immediate,joint,True,True,1901.176818,1920.1768223686577,0,-19,0,0,9600.88411184329,0,0,0,-4.368657755549066e-06
stage3-round-broad-p3-0009-9c91f9b13de2f920,3,broad,broad_joint,assumption__radius_min__noise_deterministic__scale_150,development,scan_then_clear,joint,True,True,1217.7734950000004,1255.773496650536,0,-5,-33,0,6278.867483252678,0,-11,-11,-1.65053552336758e-06
stage3-round-broad-p3-0010-6ca0ee61d2ebc779,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,immediate,joint,True,True,1767.2963909999999,1764.2963941692478,0,-18,21,0,8821.481970846238,0,7,7,-3.16924797516549e-06
stage3-round-broad-p3-0010-6ca0ee61d2ebc779,3,broad,broad_joint,assumption__radius_min__noise_correlated__scale_150,development,scan_then_clear,joint,True,True,801.2834970000004,810.2834966658911,0,-6,-3,0,4051.4174833294564,0,-1,-1,3.341092451591976e-07
stage3-round-broad-p3-0011-b6338a8ab9b79b3d,3,broad,broad_joint,assumption__radius_min__noise_extreme__scale_150,development,immediate,joint,True,True,2004.119968,2006.1199752053662,0,-17,15,0,10030.599876026834,0,5,5,-7.205366273410618e-06
