problem,pool,composition_model,partition,variant,mechanism_id,n_pairs,baseline_failures,candidate_failures,interpretation,total_actual_time_delta_s_mean,movement_s_delta_mean,measurement_s_delta_mean,switch_s_delta_mean,optical_s_delta_mean,laser_s_delta_mean,walk_distance_m_delta_mean,measures_delta_mean,clear_attempts_delta_mean,failed_clear_attempts_delta_mean
3,broad,broad_joint,development,immediate,__design_mixture__,64,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",2046.18850925,2028.047888279472,-2.265625,-17.234375,37.640625,0.0,10140.239441397362,-0.453125,12.546875,12.546875
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_correlated__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",2526.694853,2474.694858304557,0.0,-15.5,67.5,0.0,12373.474291522783,0.0,22.5,22.5
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_correlated__scale_300,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",3078.4965445000003,2976.9965472295885,0.0,-18.5,120.0,0.0,14884.982736147944,0.0,40.0,40.0
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_correlated__scale_75,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",3492.003925333333,3424.337263465266,0.0,-18.333333333333332,86.0,0.0,17121.68631732633,0.0,28.666666666666668,28.666666666666668
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_deterministic__scale_150,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",2559.704772333334,2511.3714409065547,0.0,-14.666666666666666,63.0,0.0,12556.857204532775,0.0,21.0,21.0
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_deterministic__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",4318.631835,4224.63184343136,-35.0,-27.0,156.0,0.0,21123.159217156797,-7.0,52.0,52.0
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_deterministic__scale_75,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",2762.189177,2708.6891819328175,0.0,-17.0,70.5,0.0,13543.445909664088,0.0,23.5,23.5
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_extreme__scale_150,2,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",2376.6109395,2416.1109437574096,-12.5,-18.0,-9.0,0.0,12080.554718787049,-2.5,-3.0,-3.0
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_extreme__scale_300,1,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",4468.087615,4361.087621418243,0.0,-19.0,126.0,0.0,21805.43810709121,0.0,42.0,42.0
3,broad,broad_joint,development,immediate,assumption__radius_max__noise_extreme__scale_75,3,0,0,"Actual executed-action costs, including failures; not hypothetical completion times or an official population mean",2295.4244553333333,2290.7577940280485,0.0,-16.333333333333332,21.0,0.0,11453.788970140246,0.0,7.0,7.0
