case_id,problem,pool,composition_model,partition,error_mode,variant,mechanism_id,mechanism_status,baseline_complete,candidate_complete,baseline_variant,both_complete,completion_delta,penalized_time_delta_s,completed_time_delta_s,completed_reduction_pct,baseline_total_virtual_time_s,candidate_total_virtual_time_s
stage3-round-broad-p3-0000-11dcbaa9d490a655,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,664.0424940000003,664.0424940000003,-16.084268973420766,4128.521446,4792.56394
stage3-round-broad-p3-0000-11dcbaa9d490a655,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_min__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,382.79682800000046,382.79682800000046,-9.272007739499108,4128.521446,4511.318274
stage3-round-broad-p3-0001-d0275d1ecb2d2ce7,3,broad,broad_joint,development,correlated,immediate,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,630.1465549999994,630.1465549999994,-13.176916502334524,4782.20041,5412.346965
stage3-round-broad-p3-0001-d0275d1ecb2d2ce7,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_min__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,496.7843249999996,496.7843249999996,-10.388195441604248,4782.20041,5278.984735
stage3-round-broad-p3-0003-e836d912777fee7d,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,2390.5522209999995,2390.5522209999995,-60.30140214318008,3964.339362,6354.891583
stage3-round-broad-p3-0003-e836d912777fee7d,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_max__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,653.2967100000001,653.2967100000001,-16.479333637835015,3964.339362,4617.636072
stage3-round-broad-p3-0004-105a97f10a0ca770,3,broad,broad_joint,development,correlated,immediate,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,2861.6576560000003,2861.6576560000003,-62.24021280573582,4597.76329,7459.420946
stage3-round-broad-p3-0004-105a97f10a0ca770,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_max__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,860.2715109999999,860.2715109999999,-18.710652479023118,4597.76329,5458.034801
stage3-round-broad-p3-0005-54f380fda6621168,3,broad,broad_joint,development,extreme,immediate,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,783.1701720000001,783.1701720000001,-17.74747667770377,4412.853648,5196.02382
stage3-round-broad-p3-0005-54f380fda6621168,3,broad,broad_joint,development,extreme,scan_then_clear,assumption__radius_max__noise_extreme__scale_75,broad_or_stress_assumption,True,True,joint,True,0,186.33407499999976,186.33407499999976,-4.222530132728294,4412.853648,4599.187723
stage3-round-broad-p3-0006-b1cebb9515c3d05a,3,broad,broad_joint,development,deterministic,immediate,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,2198.1781710000005,2198.1781710000005,-42.841559170856335,5130.948111,7329.126282
stage3-round-broad-p3-0006-b1cebb9515c3d05a,3,broad,broad_joint,development,deterministic,scan_then_clear,assumption__radius_mixed__noise_deterministic__scale_75,broad_or_stress_assumption,True,True,joint,True,0,719.09022,719.09022,-14.014763050485271,5130.948111,5850.038331
stage3-round-broad-p3-0007-c3f6910dc5d88f83,3,broad,broad_joint,development,correlated,immediate,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,2524.305004,2524.305004,-61.99637324661591,4071.697862,6596.002866
stage3-round-broad-p3-0007-c3f6910dc5d88f83,3,broad,broad_joint,development,correlated,scan_then_clear,assumption__radius_mixed__noise_correlated__scale_75,broad_or_stress_assumption,True,True,joint,True,0,334.0359470000003,334.0359470000003,-8.20384906545898,4071.697862,4405.733809
