problem,variant,case_count,complete_runs,mean_virtual_time_s,mean_paired_delta_s,mean_paired_delta_percent,mean_program_real_time_s,mean_measures,mean_fallback_targets,hull_violations
3,default,2,2,4916.898519,0.0,0.0,1.6511372000095434,120.5,5,0
3,epsilon_1.02,2,2,4921.463901,4.565381999999772,0.10918866697881002,1.4255198500468396,122.5,5.5,0
3,epsilon_1.06,2,2,4934.866761,17.96824199999992,0.34463405422286986,1.4875016000005417,122.5,5.5,0
3,bin_2,2,2,4918.994014,2.0954949999995733,0.1473597315063191,2.6095530499587767,122.5,5.5,0
3,bin_8,2,2,4892.297896,-24.60062300000027,-0.43718958167957567,0.8431133500416763,121,5,0
3,weight_1,2,2,4950.034699,33.13617999999951,0.6100379101296571,1.5905134999775328,128.5,6.5,0
3,weight_4,2,2,4903.916381999999,-12.98213700000042,-0.015229642637115681,1.4954147500102408,116.5,4.5,0
3,detour_0,2,2,5808.4494405000005,891.5509214999997,19.10487843157418,1.4419057999621145,117,4.5,0
3,detour_1600,2,2,4848.9453295,-67.95318950000001,-0.7524334653039144,1.5718730500084348,115,5.5,0
4,default,2,2,11513.2896305,0.0,0.0,2.381256000022404,348,8.5,0
4,epsilon_1.02,2,2,11531.711367,18.421736499999497,0.14889464088604365,2.308895299967844,348.5,8.5,0
4,epsilon_1.06,2,2,11566.697005999999,53.407375499999034,0.4600996708138405,2.5184368999907747,349.5,9,0
4,bin_2,2,2,11506.279254500001,-7.0103760000001785,-0.07919716255791465,4.2201258999994025,348.5,9,0
4,bin_8,2,2,11502.295012999999,-10.994617500000459,-0.10395452542749095,1.603395799989812,348.5,9,0
4,weight_1,2,2,10927.5074065,-585.7822240000005,-5.129859385262309,2.293193900026381,349,8,0
4,weight_4,2,2,11603.9619235,90.67229299999963,0.7987441122133232,2.5745300499838777,347.5,7.5,0
4,detour_0,2,2,11900.94687,387.6572394999994,3.439835540987757,2.3154439499485306,346,6.5,0
4,detour_1600,2,2,9875.1668615,-1638.1227690000005,-13.416325956236907,2.3307699500583112,316,10,0
4,triangular_990,2,2,12244.1890255,730.8993949999995,6.173036907961537,2.9833711499813944,336,7.5,0
4,square_650,2,2,11877.645689,364.35605849999956,3.674521342066278,2.740650449937675,467,8.5,0
4,square_700,2,2,12041.882754,528.5931234999998,5.112462511771043,2.6210687999846414,466,7.5,0
