variant,case_id,problem,seed,layout,radius_mode,error_mode,status,error,source_total,clear_successes,clear_fraction,total_virtual_time_s,average_clear_time_s,walk_distance_m,measures,switches,clear_attempts,fallback_targets,program_real_time_s,timing_residual_s
baseline,local-p3-91300-boundary-min-deterministic,3,91300,boundary,min,deterministic,complete,,10,10,1.0,5492.306643,549.2306643,23556.533221135316,123,116,10,0,0.16291940002702177,-1.2270629667909816e-06
active,local-p3-91300-boundary-min-deterministic,3,91300,boundary,min,deterministic,complete,,10,10,1.0,4885.904361,488.5904361,20239.521804970085,132,116,14,2,0.879181299940683,5.982656148262322e-09
nearest_safe,local-p3-91300-boundary-min-deterministic,3,91300,boundary,min,deterministic,complete,,10,10,1.0,4868.832531,486.8832531,20154.162670026333,132,116,14,2,0.793201299966313,-3.005266989930533e-06
immediate,local-p3-91300-boundary-min-deterministic,3,91300,boundary,min,deterministic,complete,,10,10,1.0,4967.269565,496.7269565,20426.34783116942,144,106,12,1,0.9957883999450132,-1.2338841770542786e-06
joint_square,local-p3-91300-boundary-min-deterministic,3,91300,boundary,min,deterministic,complete,,10,10,1.0,4818.610688,481.8610688,19883.053448342875,133,121,12,1,0.9243280000519007,-1.668575350777246e-06
joint_triangular,local-p3-91300-boundary-min-deterministic,3,91300,boundary,min,deterministic,complete,,10,10,1.0,4818.610688,481.8610688,19883.053448342875,133,121,12,1,1.1101187000749633,-1.668575350777246e-06
baseline,local-p3-91301-center_and_boundary-max-correlated,3,91301,center_and_boundary,max,correlated,complete,,16,16,1.0,6586.829614,411.676850875,29454.148070876716,105,91,16,0,0.22689169994555414,-1.7534330254420638e-07
active,local-p3-91301-center_and_boundary-max-correlated,3,91301,center_and_boundary,max,correlated,complete,,16,16,1.0,5055.419217,315.9637010625,21297.09609263773,116,91,31,4,1.2722098999656737,-1.5275463738362305e-06
nearest_safe,local-p3-91301-center_and_boundary-max-correlated,3,91301,center_and_boundary,max,correlated,complete,,16,16,1.0,5053.047401,315.8154625625,21260.237004999388,117,91,31,4,1.1893874999368563,1.2187229003757238e-10
immediate,local-p3-91301-center_and_boundary-max-correlated,3,91301,center_and_boundary,max,correlated,complete,,16,16,1.0,6579.307271,411.2067044375,28696.536352094692,122,69,43,8,1.529098500031978,5.810616130474955e-07
joint_square,local-p3-91301-center_and_boundary-max-correlated,3,91301,center_and_boundary,max,correlated,complete,,16,16,1.0,5186.477594,324.154849625,21792.38796443124,121,95,32,5,1.6079332999652252,1.1137517503811978e-06
joint_triangular,local-p3-91301-center_and_boundary-max-correlated,3,91301,center_and_boundary,max,correlated,complete,,16,16,1.0,5186.477594,324.154849625,21792.38796443124,121,95,32,5,1.6895142000867054,1.1137517503811978e-06
baseline,local-p3-91302-clustered-mixed-extreme,3,91302,clustered,mixed,extreme,complete,,10,10,1.0,6144.943161,614.4943161,27159.715775990968,116,83,10,0,0.2584002000512555,5.801806764793582e-06
active,local-p3-91302-clustered-mixed-extreme,3,91302,clustered,mixed,extreme,complete,,10,10,1.0,3920.305501,392.03055009999997,16331.527507218882,103,83,12,1,1.077134900027886,-4.4377657104632817e-07
nearest_safe,local-p3-91302-clustered-mixed-extreme,3,91302,clustered,mixed,extreme,complete,,10,10,1.0,3894.109036,389.4109036,16200.545183295777,103,83,12,1,0.9440980000654235,-6.59155375615228e-07
immediate,local-p3-91302-clustered-mixed-extreme,3,91302,clustered,mixed,extreme,complete,,10,10,1.0,7473.460412,747.3460412000001,33282.302054785985,128,73,28,8,1.3766157999634743,1.0428029781905934e-06
joint_square,local-p3-91302-clustered-mixed-extreme,3,91302,clustered,mixed,extreme,complete,,10,10,1.0,3353.69906,335.369906,13648.495301126684,98,84,10,0,0.9348070999840274,-2.2533686205861159e-07
joint_triangular,local-p3-91302-clustered-mixed-extreme,3,91302,clustered,mixed,extreme,complete,,10,10,1.0,3353.69906,335.369906,13648.495301126684,98,84,10,0,0.9812434000195935,-2.2533686205861159e-07
baseline,local-p3-91303-hidden_outward_last-min-deterministic,3,91303,hidden_outward_last,min,deterministic,complete,,16,16,1.0,6817.895365,426.1184603125,30699.47682229509,102,88,16,0,0.18924840004183352,5.409820005297661e-07
active,local-p3-91303-hidden_outward_last-min-deterministic,3,91303,hidden_outward_last,min,deterministic,complete,,16,16,1.0,5780.502646,361.281415375,25192.513228676013,113,88,19,1,1.3577108000172302,2.647975634317845e-07
nearest_safe,local-p3-91303-hidden_outward_last-min-deterministic,3,91303,hidden_outward_last,min,deterministic,complete,,16,16,1.0,5764.17086,360.26067875,25110.854308647617,113,88,19,1,1.400200100033544,-1.7295233192271553e-06
immediate,local-p3-91303-hidden_outward_last-min-deterministic,3,91303,hidden_outward_last,min,deterministic,complete,,16,16,1.0,5946.858865,371.6786790625,26164.294342309728,111,70,19,2,1.6323010000633076,-3.461945198068861e-06
joint_square,local-p3-91303-hidden_outward_last-min-deterministic,3,91303,hidden_outward_last,min,deterministic,complete,,16,16,1.0,5211.933088,325.745818,22459.66545323026,110,90,16,0,1.6321713000070304,-2.6460520530235954e-06
joint_triangular,local-p3-91303-hidden_outward_last-min-deterministic,3,91303,hidden_outward_last,min,deterministic,complete,,16,16,1.0,5211.933088,325.745818,22459.66545323026,110,90,16,0,1.3863713999744505,-2.6460520530235954e-06
baseline,local-p4-91400-boundary-min-deterministic,4,91400,boundary,min,deterministic,complete,,10,10,1.0,14722.281041,1472.2281041,52481.405159508526,708,636,10,1,0.7222990000154823,9.09829577722121e-06
active,local-p4-91400-boundary-min-deterministic,4,91400,boundary,min,deterministic,complete,,10,10,1.0,13453.074992,1345.3074992,46055.374947557546,710,636,12,3,2.719420599984005,2.4884902813937515e-06
nearest_safe,local-p4-91400-boundary-min-deterministic,4,91400,boundary,min,deterministic,complete,,10,10,1.0,13431.835303,1343.1835303,45949.17650650629,710,636,12,3,2.875999000039883,1.698743290035054e-06
immediate,local-p4-91400-boundary-min-deterministic,4,91400,boundary,min,deterministic,complete,,10,10,1.0,13533.391859,1353.3391858999998,46771.959285635836,700,626,11,2,1.3689133999869227,1.8728314898908138e-06
joint_square,local-p4-91400-boundary-min-deterministic,4,91400,boundary,min,deterministic,complete,,10,10,1.0,12138.082045,1213.8082044999999,39760.410219047604,697,645,12,3,2.336791399982758,1.1904776329174638e-06
joint_triangular,local-p4-91400-boundary-min-deterministic,4,91400,boundary,min,deterministic,complete,,10,10,1.0,11315.695423,1131.5695423,40513.47711807864,508,461,64,5,2.786341800005175,-6.15729732089676e-07
