split,problem,variant,n_cases,complete_count,failed_count,complete_rate,failure_rate,externally_all_cleared_rate,external_truth_n,hull_invariant_violations,status_counts,code_sha256,pooled_time_per_cleared_source_s,total_virtual_time_s_n,total_virtual_time_s_mean,total_virtual_time_s_median,total_virtual_time_s_p95,total_virtual_time_s_max,total_virtual_time_s_min,average_clear_time_s_n,average_clear_time_s_mean,average_clear_time_s_median,average_clear_time_s_p95,average_clear_time_s_max,average_clear_time_s_min,walk_distance_m_n,walk_distance_m_mean,walk_distance_m_median,walk_distance_m_p95,walk_distance_m_max,walk_distance_m_min,movement_time_s_n,movement_time_s_mean,movement_time_s_median,movement_time_s_p95,movement_time_s_max,movement_time_s_min,measure_time_s_n,measure_time_s_mean,measure_time_s_median,measure_time_s_p95,measure_time_s_max,measure_time_s_min,switch_time_s_n,switch_time_s_mean,switch_time_s_median,switch_time_s_p95,switch_time_s_max,switch_time_s_min,optical_time_s_n,optical_time_s_mean,optical_time_s_median,optical_time_s_p95,optical_time_s_max,optical_time_s_min,laser_time_s_n,laser_time_s_mean,laser_time_s_median,laser_time_s_p95,laser_time_s_max,laser_time_s_min,measures_n,measures_mean,measures_median,measures_p95,measures_max,measures_min,switches_n,switches_mean,switches_median,switches_p95,switches_max,switches_min,clear_attempts_n,clear_attempts_mean,clear_attempts_median,clear_attempts_p95,clear_attempts_max,clear_attempts_min,clear_successes_n,clear_successes_mean,clear_successes_median,clear_successes_p95,clear_successes_max,clear_successes_min,fallback_targets_n,fallback_targets_mean,fallback_targets_median,fallback_targets_p95,fallback_targets_max,fallback_targets_min,program_real_time_s_n,program_real_time_s_mean,program_real_time_s_median,program_real_time_s_p95,program_real_time_s_max,program_real_time_s_min,clear_fraction_n,clear_fraction_mean,clear_fraction_median,clear_fraction_p95,clear_fraction_max,clear_fraction_min,timing_residual_s_n,timing_residual_s_mean,timing_residual_s_median,timing_residual_s_p95,timing_residual_s_max,timing_residual_s_min
stress,3,active,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",377.73330240384615,4,4910.53293125,4970.661789,5671.74013165,5780.502646,3920.305501,4,389.46652565937495,376.6559827375,474.1064531999999,488.5904361,315.9637010625,4,20765.164658375677,20768.308948803908,24608.200658270267,25192.513228676013,16331.527507218882,4,4153.032931675136,4153.661789760781,4921.640131654054,5038.502645735203,3266.3055014437764,4,580.0,572.5,648.0,660.0,515.0,4,94.5,89.5,112.25,116.0,83.0,4,57.0,49.5,87.6,93.0,36.0,4,26.0,26.0,32.0,32.0,20.0,4,116.0,114.5,129.6,132.0,103.0,4,94.5,89.5,112.25,116.0,83.0,4,19.0,16.5,29.199999999999996,31.0,12.0,4,13.0,13.0,16.0,16.0,10.0,4,2.0,1.5,3.6999999999999993,4.0,1.0,4,1.1465592249878682,1.1746723999967799,1.3448856650094967,1.3577108000172302,0.879181299940683,4,1.0,1.0,1.0,1.0,1.0,4,-4.2513568132562796e-07,-2.1889695744903293e-07,2.259753273392561e-07,2.647975634317845e-07,-1.5275463738362305e-06
stress,3,baseline,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",481.5764381346154,4,6260.49369575,6365.886387500001,6783.23550235,6817.895365,5492.306643,4,500.380072896875,487.67456230625,604.70476833,614.4943161,411.676850875,4,27717.468472574525,28306.93192343384,30512.677509582336,30699.47682229509,23556.533221135316,4,5543.493694514905,5661.386384686769,6102.535501916467,6139.895364459018,4711.306644227064,4,557.5,552.5,609.75,615.0,510.0,4,94.5,89.5,112.25,116.0,83.0,4,39.0,39.0,48.0,48.0,30.0,4,26.0,26.0,32.0,32.0,20.0,4,111.5,110.5,121.95,123.0,102.0,4,94.5,89.5,112.25,116.0,83.0,4,13.0,13.0,16.0,16.0,10.0,4,13.0,13.0,16.0,16.0,10.0,4,0.0,0.0,0.0,0.0,0.0,4,0.20936492501641624,0.20807004999369383,0.2536739250354003,0.2584002000512555,0.16291940002702177,4,1.0,1.0,1.0,1.0,1.0,4,1.23509562399704e-06,1.8281934899277985e-07,5.012683050154008e-06,5.801806764793582e-06,-1.2270629667909816e-06
stress,3,immediate,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",480.1326175576923,4,6241.72402825,6263.083068,7339.33744085,7473.460412,4967.269565,4,506.7395953,453.96683046875,709.7531784949999,747.3460412000001,371.6786790625,4,27142.370145089957,27430.415347202208,32594.43719938229,33282.302054785985,20426.34783116942,4,5428.474029017992,5486.083069440443,6518.887439876458,6656.460410957197,4085.2695662338842,4,631.25,625.0,708.0,720.0,555.0,4,79.5,71.5,101.04999999999998,106.0,69.0,4,76.5,70.5,122.24999999999999,129.0,36.0,4,26.0,26.0,32.0,32.0,20.0,4,126.25,125.0,141.6,144.0,111.0,4,79.5,71.5,101.04999999999998,106.0,69.0,4,25.5,23.5,40.74999999999999,43.0,12.0,4,13.0,13.0,16.0,16.0,10.0,4,4.75,5.0,8.0,8.0,1.0,4,1.3834509250009432,1.452857149997726,1.6168206250586081,1.6323010000633076,0.9957883999450132,4,1.0,1.0,1.0,1.0,1.0,4,-7.679911959712626e-07,-3.2641128200339153e-07,9.735417734191285e-07,1.0428029781905934e-06,-3.461945198068861e-06
stress,3,joint_square,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",357.12923903846155,4,4642.6801075,5002.544141,5208.1147639,5211.933088,3353.69906,4,366.78291060624997,330.557862,459.88739437999993,481.8610688,324.154849625,4,19445.900541782765,20837.72070638706,22359.573829910405,22459.66545323026,13648.495301126684,4,3889.1801083565533,4167.544141277412,4471.914765982081,4491.933090646052,2729.6990602253372,4,577.5,577.5,656.0,665.0,490.0,4,97.5,92.5,117.1,121.0,84.0,4,52.5,42.0,88.79999999999998,96.0,30.0,4,26.0,26.0,32.0,32.0,20.0,4,115.5,115.5,131.2,133.0,98.0,4,97.5,92.5,117.1,121.0,84.0,4,17.5,14.0,29.599999999999994,32.0,10.0,4,13.0,13.0,16.0,16.0,10.0,4,1.5,0.5,4.399999999999999,5.0,0.0,4,1.274809925002046,1.2713701999746263,1.6285356000007596,1.6321713000070304,0.9243280000519007,4,1.0,1.0,1.0,1.0,1.0,4,-8.565531288695638e-07,-9.469561064179288e-07,9.128884585152258e-07,1.1137517503811978e-06,-2.6460520530235954e-06
stress,3,joint_triangular,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",357.12923903846155,4,4642.6801075,5002.544141,5208.1147639,5211.933088,3353.69906,4,366.78291060624997,330.557862,459.88739437999993,481.8610688,324.154849625,4,19445.900541782765,20837.72070638706,22359.573829910405,22459.66545323026,13648.495301126684,4,3889.1801083565533,4167.544141277412,4471.914765982081,4491.933090646052,2729.6990602253372,4,577.5,577.5,656.0,665.0,490.0,4,97.5,92.5,117.1,121.0,84.0,4,52.5,42.0,88.79999999999998,96.0,30.0,4,26.0,26.0,32.0,32.0,20.0,4,115.5,115.5,131.2,133.0,98.0,4,97.5,92.5,117.1,121.0,84.0,4,17.5,14.0,29.599999999999994,32.0,10.0,4,13.0,13.0,16.0,16.0,10.0,4,1.5,0.5,4.399999999999999,5.0,0.0,4,1.2918119250389282,1.2482450500247069,1.6440427800698671,1.6895142000867054,0.9812434000195935,4,1.0,1.0,1.0,1.0,1.0,4,-8.565531288695638e-07,-9.469561064179288e-07,9.128884585152258e-07,1.1137517503811978e-06,-2.6460520530235954e-06
stress,3,nearest_safe,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",376.54153515384616,4,4895.039957,4960.939966,5657.50234115,5764.17086,3894.109036,4,388.092574503125,374.835791175,472.262400675,486.8832531,315.8154625625,4,20681.449791742278,20707.19983751286,24533.26171310038,25110.854308647617,16200.545183295777,4,4136.289958348456,4141.4399675025725,4906.6523426200765,5022.1708617295235,3240.1090366591557,4,581.25,575.0,648.75,660.0,515.0,4,94.5,89.5,112.25,116.0,83.0,4,57.0,49.5,87.6,93.0,36.0,4,26.0,26.0,32.0,32.0,20.0,4,116.25,115.0,129.75,132.0,103.0,4,94.5,89.5,112.25,116.0,83.0,4,19.0,16.5,29.199999999999996,31.0,12.0,4,13.0,13.0,16.0,16.0,10.0,4,2.0,1.5,3.6999999999999993,4.0,1.0,4,1.0817217250005342,1.06674275000114,1.3685782100190407,1.400200100033544,0.793201299966313,4,1.0,1.0,1.0,1.0,1.0,4,-1.3484559531207196e-06,-1.1943393474211916e-06,-9.876971489575253e-08,1.2187229003757238e-10,-3.005266989930533e-06
stress,4,active,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",948.6244619615385,4,12332.1180055,12595.360141500001,14350.60695885,14508.994953,9628.756786,4,1006.920377996875,1040.28835683125,1319.5760536849998,1345.3074992,601.797299125,4,45586.84001457372,43277.079436582586,54448.78477173585,55929.9747407085,39863.22644442121,4,9117.368002914744,8655.415887316518,10889.75695434717,11185.9949481417,7972.645288884243,4,2537.5,2677.5,3478.0,3550.0,1245.0,4,440.5,461.0,622.9499999999999,636.0,204.0,4,210.75,87.0,556.9499999999998,633.0,36.0,4,26.0,26.0,32.0,32.0,20.0,4,507.5,535.5,695.5999999999999,710.0,249.0,4,440.5,461.0,622.9499999999999,636.0,204.0,4,70.25,29.0,185.64999999999995,211.0,12.0,4,13.0,13.0,16.0,16.0,10.0,4,3.75,3.0,8.099999999999998,9.0,0.0,4,2.225449399993522,2.2117313999915496,3.2548639899527188,3.3493539999471977,1.1289808000437915,4,1.0,1.0,1.0,1.0,1.0,4,2.5852555154415313e-06,2.3021239030640572e-06,4.50282750534825e-06,4.85829878016375e-06,8.784754754742607e-07
stress,4,baseline,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",1056.5257344615384,4,13734.834547999999,13850.4931065,15347.2055766,15457.486377,11780.865602,4,1118.123904996875,1131.98170788125,1446.074466065,1472.2281041,736.304100125,4,53350.422697036716,51707.8665622807,61794.027833647546,63437.4318349662,46548.52582861925,4,10670.084539407344,10341.573312456141,12358.805566729508,12687.48636699324,9309.70516572385,4,2556.25,2687.5,3469.5,3540.0,1310.0,4,440.5,461.0,622.9499999999999,636.0,204.0,4,42.0,39.0,58.199999999999996,60.0,30.0,4,26.0,26.0,32.0,32.0,20.0,4,511.25,537.5,693.9,708.0,262.0,4,440.5,461.0,622.9499999999999,636.0,204.0,4,14.0,13.0,19.4,20.0,10.0,4,13.0,13.0,16.0,16.0,10.0,4,1.5,0.5,4.399999999999999,5.0,0.0,4,0.6568486750184093,0.6703534499974921,0.941580725001404,0.9802774999989197,0.30641030007973313,4,1.0,1.0,1.0,1.0,1.0,4,8.59265674080234e-06,9.043858881341293e-06,9.87048961178516e-06,1.0006759112002328e-05,6.276150088524446e-06
stress,4,immediate,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",1016.0883735192308,4,13209.14885575,14207.563907,14967.2604594,14982.353019,9439.11459,4,1091.963626740625,1144.86812479375,1467.94843406,1488.1735955,589.944661875,4,50900.74427932929,51150.319523043414,59896.052291035216,60666.76509055008,40635.57298068023,4,10180.148855865857,10230.063904608684,11979.210458207042,12133.353018110016,8127.114596136045,4,2433.75,2582.5,3444.5,3500.0,1070.0,4,408.0,422.0,612.9499999999999,626.0,162.0,4,161.25,67.5,418.4999999999999,477.0,33.0,4,26.0,26.0,32.0,32.0,20.0,4,486.75,516.5,688.9,700.0,214.0,4,408.0,422.0,612.9499999999999,626.0,162.0,4,53.75,22.5,139.49999999999994,159.0,11.0,4,13.0,13.0,16.0,16.0,10.0,4,5.75,4.0,13.649999999999997,15.0,0.0,4,1.7713642249873374,1.338108950003516,2.9569213950016993,3.237158100004308,1.1720808999380097,4,1.0,1.0,1.0,1.0,1.0,4,-1.1585734682739712e-07,1.3814078556606546e-06,2.754255547188222e-06,2.9098009690642357e-06,-6.136046067695133e-06
stress,4,joint_square,4,4,0,1.0,0.0,1.0,4,0,"{""complete"": 4}","[""b3cdd5b3089c9ea55f14a791b74702bfbc5777b8a6e8e8c8d19d3caf3f12b4bd""]",868.2903024615384,4,11287.773932,11621.345104,12652.8652415,12743.709335,9164.696185,4,923.38609145,953.47132486875,1198.30609627,1213.8082044999999,572.7935115625,4,41038.8696497222,39219.445568217634,47119.826192200024,48418.54665805046,37298.04080440305,4,8207.77392994444,7843.889113643529,9423.965238440007,9683.709331610093,7459.60816088061,4,2461.25,2600.0,3417.5,3485.0,1160.0,4,435.25,453.5,630.9,645.0,189.0,4,157.5,43.5,438.14999999999986,507.0,36.0,4,26.0,26.0,32.0,32.0,20.0,4,492.25,520.0,683.5,697.0,232.0,4,435.25,453.5,630.9,645.0,189.0,4,52.5,14.5,146.04999999999995,169.0,12.0,4,13.0,13.0,16.0,16.0,10.0,4,4.0,2.0,9.799999999999997,11.0,1.0,4,1.995181149977725,1.8801456499495544,2.7522759049606975,2.8255966999568045,1.3948366000549868,4,1.0,1.0,1.0,1.0,1.0,4,2.055561253655469e-06,1.8209293557447381e-06,3.1993311495170927e-06,3.389908670214936e-06,1.1904776329174638e-06
