variant,case_id,problem,seed,layout,radius_mode,error_mode,status,error,source_total,clear_successes,clear_fraction,total_virtual_time_s,average_clear_time_s,walk_distance_m,measures,switches,clear_attempts,fallback_targets,program_real_time_s,timing_residual_s
baseline,local-p3-11300-random-min-deterministic,3,11300,random,min,deterministic,complete,,10,10,1.0,5384.373229,538.4373229,23296.866153167397,114,105,10,0,0.13740150001831353,-1.6334797692252323e-06
active,local-p3-11300-random-min-deterministic,3,11300,random,min,deterministic,complete,,10,10,1.0,5190.090561,519.0090561,22150.452811506584,121,105,10,0,0.6800003000535071,-1.3013168427278288e-06
nearest_safe,local-p3-11300-random-min-deterministic,3,11300,random,min,deterministic,complete,,10,10,1.0,5177.717202,517.7717202,22088.58600933874,121,105,10,0,0.7098108000354841,1.3225235306890681e-07
immediate,local-p3-11300-random-min-deterministic,3,11300,random,min,deterministic,complete,,10,10,1.0,5581.328494,558.1328494,23831.642492261773,131,95,15,2,0.9041507999645546,-4.4523540054797195e-06
joint_square,local-p3-11300-random-min-deterministic,3,11300,random,min,deterministic,complete,,10,10,1.0,4134.909166,413.49091660000005,16669.545836056208,125,111,15,2,0.7710241000168025,-1.2112413969589397e-06
joint_triangular,local-p3-11300-random-min-deterministic,3,11300,random,min,deterministic,complete,,10,10,1.0,4134.909166,413.49091660000005,16669.545836056208,125,111,15,2,0.8115741000510752,-1.2112413969589397e-06
baseline,local-p3-11301-random-max-correlated,3,11301,random,max,correlated,complete,,16,16,1.0,7874.489519,492.1555949375,36037.44756354698,103,66,18,1,0.19519819994457066,6.290603778325021e-06
active,local-p3-11301-random-max-correlated,3,11301,random,max,correlated,complete,,16,16,1.0,6445.368963,402.8355601875,28551.844784247645,113,66,24,9,2.0524328999454156,6.150470653665252e-06
nearest_safe,local-p3-11301-random-max-correlated,3,11301,random,max,correlated,complete,,16,16,1.0,6439.181679,402.4488549375,28520.908370452697,113,66,24,9,1.8299798000371084,4.909460585622583e-06
immediate,local-p3-11301-random-max-correlated,3,11301,random,max,correlated,complete,,16,16,1.0,7605.079303,475.3174564375,34070.396499029426,111,42,54,11,1.8378311999840662,3.1941153793013655e-06
joint_square,local-p3-11301-random-max-correlated,3,11301,random,max,correlated,complete,,16,16,1.0,5698.887872,356.180492,24439.439338158685,116,70,43,8,1.9996649000095204,4.368263034848496e-06
joint_triangular,local-p3-11301-random-max-correlated,3,11301,random,max,correlated,complete,,16,16,1.0,5698.887872,356.180492,24439.439338158685,116,70,43,8,1.83106889994815,4.368263034848496e-06
baseline,local-p3-11302-random-mixed-extreme,3,11302,random,mixed,extreme,complete,,10,10,1.0,5614.467851,561.4467851,24487.33925286517,114,97,10,0,0.27039800002239645,4.2696592572610825e-07
active,local-p3-11302-random-mixed-extreme,3,11302,random,mixed,extreme,complete,,10,10,1.0,4912.864945,491.2864945,20909.324720727058,115,97,13,1,1.0213229999644682,8.545885066268966e-07
nearest_safe,local-p3-11302-random-mixed-extreme,3,11302,random,mixed,extreme,complete,,10,10,1.0,4896.706403,489.6706403,20828.53201602164,115,97,13,1,1.1415970999514684,-2.0432798919500783e-07
immediate,local-p3-11302-random-mixed-extreme,3,11302,random,mixed,extreme,complete,,10,10,1.0,5567.8217,556.7821700000001,23904.1085134566,127,87,15,4,1.0743621999863535,-2.6913194233202375e-06
joint_square,local-p3-11302-random-mixed-extreme,3,11302,random,mixed,extreme,complete,,10,10,1.0,4894.723702,489.4723702,20638.61849620625,121,100,14,3,0.9730644000228494,2.7587502700043842e-06
joint_triangular,local-p3-11302-random-mixed-extreme,3,11302,random,mixed,extreme,complete,,10,10,1.0,4894.723702,489.4723702,20638.61849620625,121,100,14,3,0.9852335000177845,2.7587502700043842e-06
baseline,local-p3-11303-random-min-deterministic,3,11303,random,min,deterministic,complete,,16,16,1.0,6644.546522,415.284157625,30057.732605521403,95,78,16,0,0.18749299994669855,8.957185855251737e-07
active,local-p3-11303-random-min-deterministic,3,11303,random,min,deterministic,complete,,16,16,1.0,5520.854325,345.0533953125,24464.2716287562,94,78,16,0,1.2354508000425994,-7.512398951803334e-07
nearest_safe,local-p3-11303-random-min-deterministic,3,11303,random,min,deterministic,complete,,16,16,1.0,5514.25112,344.640695,24431.255596740255,94,78,16,0,1.3079051000531763,6.519485395983793e-07
immediate,local-p3-11303-random-min-deterministic,3,11303,random,min,deterministic,complete,,16,16,1.0,6433.543736,402.0964835,28827.7186980969,103,58,21,3,1.4671693000709638,-3.6193805499351583e-06
joint_square,local-p3-11303-random-min-deterministic,3,11303,random,min,deterministic,complete,,16,16,1.0,5372.517414,335.782338375,23322.587064166502,109,83,16,1,1.423709599999711,1.1666998034343123e-06
joint_triangular,local-p3-11303-random-min-deterministic,3,11303,random,min,deterministic,complete,,16,16,1.0,5372.517414,335.782338375,23322.587064166502,109,83,16,1,1.4883546999190003,1.1666998034343123e-06
baseline,local-p4-11400-random-min-deterministic,4,11400,random,min,deterministic,complete,,10,10,1.0,13254.42786,1325.442786,47497.13926362737,617,560,30,2,0.721714899991639,7.274526069522835e-06
active,local-p4-11400-random-min-deterministic,4,11400,random,min,deterministic,complete,,10,10,1.0,13260.527864,1326.0527864,46382.6392957353,625,560,93,4,2.1754115000367165,4.852940037380904e-06
nearest_safe,local-p4-11400-random-min-deterministic,4,11400,random,min,deterministic,complete,,10,10,1.0,13252.962867,1325.2962867,46344.81430997851,625,560,93,4,2.1845647000009194,5.004298145649955e-06
immediate,local-p4-11400-random-min-deterministic,4,11400,random,min,deterministic,complete,,10,10,1.0,13980.927978,1398.0927978,50364.63988094348,637,550,51,6,2.0370723999803886,1.8113023543264717e-06
joint_square,local-p4-11400-random-min-deterministic,4,11400,random,min,deterministic,complete,,10,10,1.0,12776.307349,1277.6307349,43261.536730518754,629,566,131,4,2.37073980004061,2.896249498007819e-06
joint_triangular,local-p4-11400-random-min-deterministic,4,11400,random,min,deterministic,complete,,10,10,1.0,10979.771944,1097.9771944,40118.85969815686,460,405,77,7,2.313120999955572,4.3686268327292055e-06
baseline,local-p4-11401-random-max-correlated,4,11401,random,max,correlated,complete,,16,16,1.0,14614.228448,913.389278,62436.14218460896,349,260,30,8,0.551387200015597,1.1078207535319962e-05
active,local-p4-11401-random-max-correlated,4,11401,random,max,correlated,complete,,16,16,1.0,14493.807632,905.862977,59549.03811576111,360,260,164,13,4.010777599993162,8.84777728060726e-06
nearest_safe,local-p4-11401-random-max-correlated,4,11401,random,max,correlated,complete,,16,16,1.0,14491.703971,905.7314981875,59538.51981292923,360,260,164,13,3.4385004999348894,8.414153853664175e-06
immediate,local-p4-11401-random-max-correlated,4,11401,random,max,correlated,complete,,16,16,1.0,14249.65282,890.60330125,60023.26406273115,298,192,177,15,2.6462537999032065,7.453769285348244e-06
joint_square,local-p4-11401-random-max-correlated,4,11401,random,max,correlated,complete,,16,16,1.0,11307.458159,706.7161349375,45852.290775648275,303,230,120,11,3.0323547000298277,3.870345608447678e-06
joint_triangular,local-p4-11401-random-max-correlated,4,11401,random,max,correlated,complete,,16,16,1.0,12046.807317,752.9254573125,51789.036567261144,236,168,103,10,2.5348661000607535,3.547771484591067e-06
baseline,local-p4-11402-random-mixed-extreme,4,11402,random,mixed,extreme,complete,,10,10,1.0,12399.960035,1239.9960035,46644.80015111812,514,451,10,0,0.7500846000621095,4.776375135406852e-06
active,local-p4-11402-random-mixed-extreme,4,11402,random,mixed,extreme,complete,,10,10,1.0,11746.98796,1174.6987960000001,43284.9397949663,516,451,13,2,1.6063657000195235,1.0067396942758933e-06
nearest_safe,local-p4-11402-random-mixed-extreme,4,11402,random,mixed,extreme,complete,,10,10,1.0,11735.386843,1173.5386843,43226.93420370437,516,451,13,2,1.7201585000148043,2.2591266315430403e-06
immediate,local-p4-11402-random-mixed-extreme,4,11402,random,mixed,extreme,complete,,10,10,1.0,14064.679451,1406.4679451,54168.3972457692,524,441,50,4,1.9651479000458494,1.846159648266621e-06
joint_square,local-p4-11402-random-mixed-extreme,4,11402,random,mixed,extreme,complete,,10,10,1.0,11724.991944,1172.4991943999999,42409.95969217371,523,458,50,4,2.3024192000739276,5.565258106798865e-06
joint_triangular,local-p4-11402-random-mixed-extreme,4,11402,random,mixed,extreme,complete,,10,10,1.0,10388.727567,1038.8727567,40383.63781819233,383,335,14,2,1.6350404000841081,3.3615342545090243e-06
baseline,local-p4-11403-random-min-deterministic,4,11403,random,min,deterministic,complete,,16,16,1.0,14986.822804,936.67642525,59309.113982573355,492,414,73,1,0.5712550999596715,7.485328751499765e-06
active,local-p4-11403-random-min-deterministic,4,11403,random,min,deterministic,complete,,16,16,1.0,14103.558257,881.4723910625,53302.79125443755,492,414,179,7,3.736359199974686,6.1124901549192145e-06
nearest_safe,local-p4-11403-random-min-deterministic,4,11403,random,min,deterministic,complete,,16,16,1.0,12258.335355,766.1459596875,46611.67675738984,474,414,40,2,2.4216971000423655,3.5220309655414894e-06
immediate,local-p4-11403-random-min-deterministic,4,11403,random,min,deterministic,complete,,16,16,1.0,14538.237308,908.63983175,56461.186512100154,485,381,136,12,2.9958597000222653,5.57996827410534e-06
joint_square,local-p4-11403-random-min-deterministic,4,11403,random,min,deterministic,complete,,16,16,1.0,11631.797908,726.98736925,42838.98953906332,469,423,88,1,2.484017299953848,1.8733771867118776e-07
joint_triangular,local-p4-11403-random-min-deterministic,4,11403,random,min,deterministic,complete,,16,16,1.0,11649.179633,728.0737270625,46170.8981446974,357,292,102,7,3.2011874000309035,4.060519131598994e-06
