split,variant,case_id,seed,layout,radius_mode,error_mode,ring_radius_m,status,error,source_total,clear_successes,clear_fraction,total_virtual_time_s,average_clear_time_s,walk_distance_m,measures,switches,clear_attempts,fallback_targets,program_real_time_s,timing_residual_s
development,original,local-p3-11300-random-min-deterministic,11300,random,min,deterministic,1558.8457268119894,complete,,10,10,1.0,4134.909166,413.49091660000005,16669.545836056208,125,111,15,2,0.6768663000548258,-1.2112413969589397e-06
development,ring1125,local-p3-11300-random-min-deterministic,11300,random,min,deterministic,1125.0,complete,,10,10,1.0,3795.889832,379.5889832,14784.449154359836,133,112,14,4,0.8505425000330433,1.1280326361884363e-06
development,ring1200,local-p3-11300-random-min-deterministic,11300,random,min,deterministic,1200.0,complete,,10,10,1.0,3965.655852,396.5655852,15608.279253518378,133,111,16,4,0.7693709000013769,1.2963241715624463e-06
development,ring1300,local-p3-11300-random-min-deterministic,11300,random,min,deterministic,1300.0,complete,,10,10,1.0,3975.246101,397.5246101,15641.230490994718,133,111,17,5,0.8321648999117315,2.8010567802994046e-06
development,original,local-p3-11301-random-max-correlated,11301,random,max,correlated,1558.8457268119894,complete,,16,16,1.0,5698.887872,356.180492,24439.439338158685,116,70,43,8,1.7560047999722883,4.368263034848496e-06
development,ring1125,local-p3-11301-random-max-correlated,11301,random,max,correlated,1125.0,complete,,16,16,1.0,5527.22915,345.451821875,23701.145720226526,116,70,35,6,1.8094247999833897,5.954694643151015e-06
development,ring1200,local-p3-11301-random-max-correlated,11301,random,max,correlated,1200.0,complete,,16,16,1.0,5763.215712,360.200982,24861.0785297391,118,70,33,9,1.798587099998258,6.052179742255248e-06
development,ring1300,local-p3-11301-random-max-correlated,11301,random,max,correlated,1300.0,complete,,16,16,1.0,5471.892707,341.9932941875,23434.463513087216,118,70,31,8,1.773189099971205,4.38255665358156e-06
development,original,local-p3-11302-random-mixed-extreme,11302,random,mixed,extreme,1558.8457268119894,complete,,10,10,1.0,4894.723702,489.4723702,20638.61849620625,121,100,14,3,0.9714234999846667,2.7587502700043842e-06
development,ring1125,local-p3-11302-random-mixed-extreme,11302,random,mixed,extreme,1125.0,complete,,10,10,1.0,4247.236468,424.7236468,17521.1823199971,118,100,11,1,0.8365931999869645,4.000579792773351e-06
development,ring1200,local-p3-11302-random-mixed-extreme,11302,random,mixed,extreme,1200.0,complete,,10,10,1.0,4399.002107,439.9002107,18150.01051855058,122,100,13,3,0.9196544999722391,3.289884261903353e-06
development,ring1300,local-p3-11302-random-mixed-extreme,11302,random,mixed,extreme,1300.0,complete,,10,10,1.0,4421.486846,442.14868459999997,18392.434224390578,118,100,11,2,0.8277498999377713,1.1218844520044513e-06
development,original,local-p3-11303-random-min-deterministic,11303,random,min,deterministic,1558.8457268119894,complete,,16,16,1.0,5372.517414,335.782338375,23322.587064166502,109,83,16,1,1.4724196000024676,1.1666998034343123e-06
development,ring1125,local-p3-11303-random-min-deterministic,11303,random,min,deterministic,1125.0,complete,,16,16,1.0,5212.243839,325.7652399375,22206.219179313848,116,81,26,5,1.673533400055021,3.137230123684276e-06
development,ring1200,local-p3-11303-random-min-deterministic,11303,random,min,deterministic,1200.0,complete,,16,16,1.0,5256.213228,328.51332675,22476.06612711988,117,81,21,4,2.1383146001026034,2.576023689471185e-06
development,ring1300,local-p3-11303-random-min-deterministic,11303,random,min,deterministic,1300.0,complete,,16,16,1.0,4939.965457,308.7478410625,21034.827274646115,114,83,16,1,1.874035399989225,2.070777554763481e-06
development,original,local-p3-911300-random-min-deterministic,911300,random,min,deterministic,1558.8457268119894,complete,,10,10,1.0,4224.456758,422.4456758,16752.283781718044,139,123,12,3,1.1328911000164226,1.656391759752296e-06
development,ring1125,local-p3-911300-random-min-deterministic,911300,random,min,deterministic,1125.0,complete,,10,10,1.0,4660.823207,466.0823207,18594.116024204006,152,123,13,3,1.4878044999204576,2.159199539164547e-06
development,ring1200,local-p3-911300-random-min-deterministic,911300,random,min,deterministic,1200.0,complete,,10,10,1.0,4475.821518,447.58215179999996,17819.107584470334,146,123,13,2,1.2478448000038043,1.105932824430056e-06
development,ring1300,local-p3-911300-random-min-deterministic,911300,random,min,deterministic,1300.0,complete,,10,10,1.0,4458.075598,445.80755980000004,17645.377981063684,147,123,17,4,1.2849209000123665,1.7872634998639114e-06
development,original,local-p3-911301-boundary-min-correlated,911301,boundary,min,correlated,1558.8457268119894,complete,,16,16,1.0,5637.980435,352.3737771875,23409.902157182398,144,114,30,5,1.1947603999869898,3.5635212043416686e-06
development,ring1125,local-p3-911301-boundary-min-correlated,911301,boundary,min,correlated,1125.0,complete,,16,16,1.0,6272.939924,392.05874525,26404.699626081263,147,114,37,6,1.1579289000947028,-1.2162527127657086e-06
development,ring1200,local-p3-911301-boundary-min-correlated,911301,boundary,min,correlated,1200.0,complete,,16,16,1.0,5894.069362,368.379335125,24570.346809341594,144,114,38,7,1.2316347999731079,1.3168119039619341e-07
development,ring1300,local-p3-911301-boundary-min-correlated,911301,boundary,min,correlated,1300.0,complete,,16,16,1.0,5759.967104,359.997944,23934.835525749008,148,114,29,7,1.848822099971585,-1.1498013918753713e-06
