case_id,mode,source_distance_m,true_angle_deg,first_error_deg,first_report_deg,second_error_deg,receiver_radius_m,q_x,q_y,second_response,safety_certificate,movement_m,movement_and_second_measure_s,crossing_acute_angle_deg,posterior_diameter_m,posterior_mec_radius_m,direction_outcome_bound_m,mec_center_error_m,certified_clear_after_two,extra_clear_movement_m
d100_a0_e-1,fixed,100.0,0.0,-1.0,359.0,0.75,1000.0,706.8743491843873,387.72239355645803,direction,Q_safe,806.2257748298549,166.24515496597098,32.573863703538336,50.15890731878136,25.079453659392666,112.20357240224872,14.10218456329999,False,
d100_a0_e-1,estimated,100.0,0.0,-1.0,359.0,0.75,1000.0,721.6858947833327,140.81998142704794,direction,Q_safe,735.2964013908498,152.05928027816998,12.762871971235686,102.94312482177718,51.47156241089113,175.58841794431993,26.40550610232891,False,
d100_a0_e-1,active,100.0,0.0,-1.0,359.0,0.75,1000.0,371.0160942352579,-231.51038382416937,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.504983694352205,24.507951882939313,12.253975941471182,241.71886404388374,5.704716725414308,True,349.9238707755804
d100_a0_e0,fixed,100.0,0.0,0.0,0.0,0.75,1000.0,700.0,400.0,direction,Q_safe,806.2257748298549,166.24515496597098,33.6900675259798,50.005601549744696,25.00280077487437,111.91092581755662,16.65856054956853,False,
d100_a0_e0,estimated,100.0,0.0,0.0,0.0,0.75,1000.0,721.8211308091836,159.1479957554249,direction,Q_safe,739.1575132782033,152.83150265564066,14.356031974737514,99.46458192535925,49.73229096268223,172.89590806730575,32.37247243007021,False,
d100_a0_e0,active,100.0,0.0,0.0,0.0,0.75,1000.0,375.0,225.0,direction,convex_hull_first_station_and_Q_safe,437.3213921133975,92.4642784226795,39.28940686250034,23.845129356743964,11.922564678373675,241.9103211568431,7.205266645677934,True,339.91923175542433
d100_a0_e1,fixed,100.0,0.0,1.0,1.0,0.75,1000.0,692.9124240345604,412.15576256865495,direction,Q_safe,806.2257748298549,166.24515496597098,34.804619069438594,49.86608380367426,24.933041901839175,111.6672558693896,19.1860359222157,False,
d100_a0_e1,estimated,100.0,0.0,1.0,1.0,0.75,1000.0,721.6858947833327,177.54852987719914,direction,Q_safe,743.2052281777721,153.64104563555443,15.93891903217331,96.40011141713057,48.20005570856794,167.98139298877288,37.59936903355496,False,
d100_a0_e1,active,100.0,0.0,1.0,1.0,0.75,1000.0,371.016094235258,231.51038382416934,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.504983694352184,23.741731961684998,11.870865980844219,241.7188640438828,9.405418056701416,True,338.35855212813965
d100_a0.0049_e-1,fixed,100.0,0.0049,-1.0,359.0,0.75,1000.0,706.8743491843873,387.72239355645803,direction,Q_safe,806.2257748298549,166.24515496597098,32.568390305840424,50.15890731878136,25.079453659392666,112.20357240224872,14.103128381592724,False,
d100_a0.0049_e-1,estimated,100.0,0.0049,-1.0,359.0,0.75,1000.0,721.6858947833327,140.81998142704794,direction,Q_safe,735.2964013908498,152.05928027816998,12.75722224878017,102.94312482177718,51.47156241089113,175.58841794431993,26.405930032207696,False,
d100_a0.0049_e-1,active,100.0,0.0049,-1.0,359.0,0.75,1000.0,371.0160942352579,-231.51038382416937,direction,convex_hull_first_station_and_Q_safe,437.32139211339756,92.46427842267951,40.51092890749735,24.50262382938843,12.251311914695743,241.71886404388374,5.6135594431170555,True,349.84344916897936
d100_a0.0049_e0,fixed,100.0,0.0049,0.0,0.0,0.75,1000.0,700.0,400.0,direction,Q_safe,806.2257748298549,166.24515496597098,33.68460212152838,50.005601549744696,25.00280077487437,111.91092581755662,16.65833867106418,False,
d100_a0.0049_e0,estimated,100.0,0.0049,0.0,0.0,0.75,1000.0,721.8211308091836,159.1479957554249,direction,Q_safe,739.1575132782033,152.83150265564066,14.350392400990218,99.46458192535925,49.73229096268223,172.89590806730575,32.372243677833,False,
